PID,age,art_experience,art_time_spent,clear_instructions,dominant_hand,fluency,gender,native_language,strategy_FD,strategy_deliberation,strategy_interference,strategy_unchosen
6IPcq,27,Novice,0,,Right,4,Female,Yes,,,,
6IT9m,35,Novice,0,no,Right,4,Female,Yes,I chose the paintings that ended up having the most gains.,I just chose what I thought looked better.,I chose the paintings that had gains.,I went with the paintings I preferred.
6NBxI,22,Novice,2,"I feel like telling me the number of blocks in a given phase would be very nice, without that there were parts of the task that felt very tedious and unclear how much progress I was making.",Right,4,Male,Yes,"I tried to choose art that I knew was worth money first and foremost, and after that, figuring that only one painting in a pair could be worth money, I tried to reason and deduce which painting in a pair I was totally unfamiliar with would be worth money, and choose that painting going forward.","No, I chose whichever painting I thought was better looking.","I typically chose paintings I'd seen before, but with entirely new ones I again just chose whichever one I liked the best.","My first choice was a guess, but after that I tried to choose that painting in the future if I thought it would've sold."
6dDMA,27,Novice,1,"no, it was all explained very well",Right,4,Female,Yes,no,I tried to judge which looked most expensive or seemed the most expressive but that of course does not always work. ,Personal judegement,I had to guess. I changed my mind about a couple of them and then stuck to my own opinion and hoped it would be correct. 
7DxUX,31,Novice,1,The last part about recombining I wasn't sure what was going on. I thought I was choosing recombine if new images popped up but I wasn't too sure what I was supposed to be looking for.,Left,4,Male,Yes,I just tried to remember things the best way I could.,I used my instincts on what was best.,No,I tried to imagine which ones I selected.
8Lifh,32,Enthusiast,5,No,Right,4,Female,Yes,No,No,No,I chose what i had seen before
ARlDu,24,Novice,0,No. Although I don't understand why I did the art collection thing like 5 times over.,Right,4,Male,Yes,"I selected the art I knew sold for gains when applicable, then the ones I thought were more potentially valuable based on how the earlier ones performed, I slightly factored in having a good variety of art (ie not all portraits).",Which one seemed like an art snob would enjoy the most. ,Which one an art snob would like the most.,"Same strategy I used in the initial round, which ones seemed more artistically valuable, taking into account which paintings performed well from what I was shown."
BZQe3,25,Enthusiast,1,no,Right,4,Male,Yes,"Not really, just used memory",nah,nah,50-50
BwRKr,25,Novice,2,No.,Right,4,Male,Yes,No I didn't really use any strategy.,I just chose which one I thought looked better.,I just did what I did in the first one.,I just used my intuition.
CDRCj,29,Novice,1,no!,Left,4,Other,Yes,Just trying to remember what sold for a gain.,"Not particularly, just what I thought seemed more artistic or skillful.",nope.,"I kind of went with a combination of what I liked about them, and my thought on what made gains in the auction I knew about."
CVYYW,35,Enthusiast,2,"No, all instructions were clear and easy to understand.",Right,4,Female,No,"No, I was following my intuition.","No, I was following my intuition.","No, I was following my intuition.","I was trying to guess what their auction outcomes could be, based on the auction outcomes of the other paintings. I was trying to chose painting similar to the ones that got positive outcomes at the auction."
Dq9Pw,35,Enthusiast,2,"No, it was pretty easy to understand. ",Right,4,Female,Yes,"No, I feel i have better photogenic memory as i remember what i saw more than what was said at the same time i have issues with memory sometimes lol so well see how well it went :D I do Love art thought so this was alot of fun. ",Just by what I would enjoy having or seen in other professional places. I Love art so I try to pay attention. ,"nope, just relied on my gut and memory.",I tried to remember which ones were in pairs I am sure I answered a few wrong after I thought about it but didn't want to take too long to answer. 
DyHLP,31,Enthusiast,2,No.,Left,4,Male,Yes,"Not consciously, though I might have been associating color schemes of pairs of paintings to a small degree.",I picked paintings that I generally liked looking at and that I thought were of higher quality.,I used the same strategy here as the first auction.,I tried to remember when those paintings where paired with a painting where I knew the value.
FoGen,33,Novice,1,"No, everything was clear.",Right,4,Male,Yes,Just tried to remember which painting had earned money instead of no gain.,No other than choosing the one I liked out of the two.,No.,Randomly choose one each time.
G5sC6,31,Novice,0,Do not think so.,Right,4,Male,Yes,"Not really, I tried to follow the instructions as best I could.","Yes, I did not like the faces and liked more the landscapes or objects drawings so I chose them.",Not sure I changed up my strategy,Based on if I liked the color or not or the look of it.
GlkbX,31,Enthusiast,1,"The quizzes were a little redundant, but that's about it.",Left,4,Male,Yes,"Nope, just tried to remember paintings and do my best!",I just went with what I liked.,"Not really anything special, no.",I honesty just tried to remember as best I could.
GuL6h,33,Novice,1,,Right,4,Female,Yes,,,,
I2664,26,Novice,0,No,Right,4,Female,Yes,No I didn't,No I didn't,No,I chose which one I like best
IDAjV,29,Artist,20,NA,Right,4,Male,Yes,"I went with what I thought I remembered, I knew some of the pairings for sure, but I also tried to remember what colors were together.","I picked what I like, but also what I thought others would like.",No. I picked what I thought was best.,I choose some one time and some the other times.
IVM93,32,Enthusiast,2,No not at all.,Left,4,Female,Yes,I tried to remember the paintings that fetched a good price.,I just went with what I thought I might buy.,same as first.,I just chose what I thought might fetch a good price based on what people seemed to be generally buying in the decisions where I was able to actually see the outcomes.
JRaRD,35,Novice,0,No,Right,4,Male,Yes,No strategy. ,Personal preference. ,High-value amounts,Best guess. 
JXh5i,31,Novice,0,no,Right,4,Male,Yes,none,none,none,just used my mind  and decided 
K6miT,29,Art-historian,10,no,Right,4,Male,Yes,i love drwaing ,no,ni,"color, need, face expration\n"
KPrHD,33,Enthusiast,5,Nope. All was well.,Right,4,Male,Yes,Nothing in particular. Just my eye.,Just my gut.,Just my gut.,Just my gut.
KgZie,31,Novice,0,The intact and random wording felt a bit confusing for me.,Right,4,Female,Yes,I tried to remember which ones had gains. The others based on how much I like them.,Just overall feel.,Similar to 1st decisions.,Based on the color and expressions of the people in the painting. 
Kx4Qh,30,Novice,0,Nope.,Right,4,Female,Yes,"Just my memory, which I don't think served me very well.",Nope. Just what I thought was more alluring and would make for a better profit.,Same as the 1st.,"I just went by what I knew by one, if I knew and what I though about the other one, if it was more aesthetic. "
Ky9p8,30,Novice,1,No,Right,4,Female,Yes,I selected paintings I had seen before that I knew were of value.  If they were different than ones I knew the value of then I just took my best guess.,I just went with the paintings I personally liked more.,"No, just the same as the first round",I basically relied on my gut and chose the paintings I felt were more detailed/worth more.
LUNSq,29,Novice,0.5,The instructions were perfectly clear.,Right,4,Male,Yes,"I did not use any particular strategy. Rather, I relied on my instincts to make decisions.","In this phase, I chose the paintings that were of the greatest appeal to me personally.",I tried to choose the paintings that had sold for gains in the first auction.,I chose the paintings that were most attractive to me.
MlgU9,27,Novice,1,No.,Left,4,Male,Yes,no,No,I did not.,I chose whatever looked better to me
N8OXC,26,Novice,2,no. ,Left,4,Male,Yes,I tried to remember the faces of portraits to solidify memory of their value. ,I did not use any strategy at the beginning. I just went off instinct. ,I tried to remember results from the last phase in the second. ,I chose based off the likeness of other paintings
NaeEP,33,Novice,1,no,Right,4,Male,Yes,none,no,no,I relied o my memory. 
NtP4V,33,Enthusiast,1,no,Right,4,Female,Yes,no,whichever I was drawn to more in color,i tried to maximize which would bring money and not choose ones that wouldnt,If the other one did not bring in money i chose the one that was new
OKSBe,33,Enthusiast,2,Nope.,Right,4,Female,Yes,Not really.,Not really.,No.,I tried to think back on my memory.
OZSVZ,30,Novice,0,No,Right,4,Male,Yes,"No, I did not.","No, I did not.","No, I did not",I chose which one I liked the most.
OvCTN,31,Novice,2,No.,Right,4,Male,Yes,"No, I relied on my memory and what I learned earlier in the experiment to make my final decisions.",I chose whichever painting appealed to me more.,No.,I selected whichever painting I liked the best.
OwQ4s,34,Novice,1,No.,Right,4,Female,Yes,I tried to pick the ones I thought had gained and not lost.,"No, just what I liked or thought other people would like.",No.,I chose the one I thought had gained if I thought it hadn't I chose the other.
PeMBY,28,Novice,1,No.,Right,4,Male,Yes,I generally chose what I knew sold in the first action and if I was unfamiliar I would just try and guess based on that previous knowledge. ,"Not really, just by what I liked or what I thought other people would like more.",Same strategy as the first auction so generally what I liked or what I think other people liked more.,I based my decisions on what I knew sold so paintings that were generally similar I suppose.
PgLs5,30,Novice,0,no,Right,4,Female,Yes,I just remembered the stories I gave some of the paintings with faces,no just what I liked or thought others might,no,I guessed and tried to see if it was paired with a worthless one then tried a split 50/50
Pj09s,27,Novice,0,Nope.,Right,4,Male,Yes,Not really.,"Not really, just picked ones I preferred",Not really.,"I tried to use what I learned earlier in the study, not sure if it helped any though."
Pz1lX,28,Novice,2,No,Right,4,Female,Yes,No I did not.,No I did not.,No,I just took a guess.
Ql1sb,29,Artist,2,No.,Right,4,Female,Yes,I just went with what had the higher price.,I just went with what I thought was the better painting.,I picked the paintings I was familiar with.,I went with the one I was familiar with.
S5lJ6,30,Enthusiast,2,No,Right,4,Male,Yes,No. I just tried to remember the best I could.,No,No. IO just picked what i thought was better,Just what I could remember. If I couldn't rmember I winged it.
SSqcE,30,Enthusiast,1,no,Left,4,Female,Yes,I did not.,I just looked to find the higher quality painting.,I just went with my instinct.,I just made a good guess.
UU8Iv,29,Novice,1,nope,Right,4,Male,Yes,nope,nope,nope,just went with what I felt closer to
UmcnU,29,Enthusiast,0,"No, everything was clear.",Right,4,Female,Yes,I tried to recall the painting as best I can.,No,No,I tried to associate certain images and types of painting style with the paintings that were previously shown.
VIK7A,25,Novice,0,no,Right,4,Male,Yes,,,I took my knowledge of what auctioned well and what didn't from the first auction and looked for similarities ,I would just choose whichever one I thought looked like would auction for more
VRvOM,27,Enthusiast,0.5,I didn't find anything unclear.,Right,4,Female,Yes,I tried to hedge my bets by choosing both on the ones I didn't know to make sure I got at least some credit for getting one right.,I just picked what I personally liked.,I again just picked what I personally liked.,I tried to pick each some of the time.
VXjQe,33,Novice,1,No.,Right,4,Male,Yes,No.,No not at first.,"No, I just chose what I liked.",I looked for similarities to those that had positive auction outcomes.
WUN51,29,Novice,1,Everything was crystal clear.,Right,4,Male,Yes,I did not use any particular strategies.,"Whatever I felt and thought was a better painting, I would choose.",I did not.,I relied on my memory of the previous showing of paintings.
XXIcI,53,Novice,0,No instructions were clear ,Right,4,Female,Yes,No just select what I like more ,No strategy,no,"I go with my gut, nothing particular"
ZbRrd,29,Novice,0,No,Left,4,Female,Yes,I chose what I like,I chose what I like,I saw what sold well from the first and applied that knowledge,I used my previous knowledge gained from the first auction with a combination of gut instinct 
Ze2Oa,26,Novice,2,,Right,4,Male,Yes,,,,
ZpokS,29,Novice,2,No.,Right,4,Female,Yes,"No, I didn't.",I only choose the paintings that I love.,I still chose the paintings that I love and would have purchased myself.,I choose what looked good to me.
aFaSz,25,Novice,0,No everything was clear,Right,4,Male,Yes,I went with what I thought was correct based on all the information I received up until then.,No just the ones I thought would be worth more,No just tried my best,I tried to compare it to similar paintings to see if they were good or not
aOuee,27,Enthusiast,2,Nothing was unclear.,Right,4,Male,Yes,I tried my best to pick ones that I remembered were valued high.,I picked ones that interested me.,,"I based my decision on the appearance, if it had a good contrast without being overly saturated there was a good chance I would choose it."
aVwgX,27,Novice,0,no,Right,4,Male,Yes,I based my decisions off the values I learned from the first auction,no,no,Whichever one I liked best
bOPuu,31,Novice,1,no.,Right,4,Male,Yes,"yes, I tried to select paintings that had previously gained me money.",no.,no.,I just guessed at random.
c3qx7,28,Artist,5,everything was clear,Right,4,Female,Yes,I chose the ones that had higher value in the auctions.,I chose the ones that looked more pleasing,I chose the ones that looked both high value and pleasing,I chose ones that either looked like they might have higher value or actually did have high values in the auctions.
cz2n8,27,Novice,0,No,Right,4,Female,Yes,Seemed like paintings with people in them didn't usually pay... so I avoided those when possible,Ones I liked more or ones that looked more professional,Nothing I haven't said already,That's what I meant... tried to compare the unknowns to qualities of ones that paid or didn't 
eGaxL,32,Artist,5,No,Right,4,Female,Yes,No.,NA,NA,Best memory guess of what I couldn't remember.
eMyXx,34,Enthusiast,3,"Not really, no.",Right,4,Male,Yes,"I tried to remember which paintings had earned money at \auction\ in the previous phase - they were always paired with a painting that hadn't made money (or that I had not selected to be sold), so that was an easy choice. In situations where none of the paintings I'd previously picked were present, I leaned toward selecting portraits over landscapes, as it seemed portraits generally made money more often.",I honestly just picked which I thought was the better piece of artwork and therefore would be worth more at auction.,"Same as the previous round, I just chose what I personally felt to be the better piece of art, thinking it would be more likely to sell for a high price.","Again, I just tended toward those that were portraits as opposed to scenes of the outdoors or landscapes."
em9Pq,22,Novice,1,I thought the instructions explained everything perfectly.,Left,4,Male,Yes,I tried my best to remember which ones were valuable and which ones they ere paired with that way I knew which one to pick in that final task. The goal was to at least remember one of each from every pairing so I could increase my chances of choosing a valuable piece of art.,In the beginning I just based my choices off of how I personally viewed the paintings and what I thought their value may be.,After I had found out the values I just tried to pick the ones I was sure had value ad ignore the ones I was sure were worthless.,I tried to relate them to a painting I had already viewed and base my projection off of the painting I related it to.
f6K6e,33,Novice,0,No,Right,4,Female,Yes,No,No,No,I decided based on ones that were similar to it that had had a gain in the auction 
fX2Ey,27,Enthusiast,2,n/a,Right,4,Female,Yes,"Not really. I tried to go with my own tastes and intuition, unless I didn't like either painting. In these cases, I tried to assess which painting was most skilfully composed.","I relied on my intuition, feelings, emotions, and how skillfully-composed I felt each painting was. I also relied upon how universal the appeal I felt each painting had in comparison to each other.","I relied on my own feelings about the painting, as well as my sense of how well-composed each painting was.","I chose these in the same way, relying on my intuition, or on how skillfully composed I felt they were, in cases where I did not like either painting."
fox3f,31,Novice,1,"No, everything was clear.",Right,4,Female,No,"No, I did not.",I made the decision based on what I thought other people would choose if they were in the same situation.,No.,Based on my instinct. 
fy1KM,31,Enthusiast,1,no,Right,4,Female,Yes,No I just tried to pick what i like and what i thought would maximize profit,Just picked what i liked,trying to recall what images sold,Based on what i prefered
ghIom,29,Novice,1,I found nothing unclear.,Right,4,Male,Yes,"I basically tried to remove any of the paintings that did not sell during the auction. If I saw any of their alternatives from the initial choice phase, I tried to pick those instead. I was basing it on auction appeal.",I didn't use a particular strategy other than choosing what paintings I thought were more interesting and visually appealing.,I used the same strategy in the second auction as I did in the first auction - using visual appeal and interest.,"My choices sometimes fluctuated during those pairs. Eventually I felt like I narrowed my choices down based on personal preference, or I thought about similarities between those paintings and the paintings that sold."
hBnSx,30,Novice,0,no,Right,4,Male,Yes,n/a,based on appearance ,most like others that sold from first auction,style of painting
hdEFQ,33,Novice,0,No,Right,4,Female,Yes,"No, I just tried to remember which paintings were valuable.","No, I simply chose the paintings that I liked best.",No,I chose the painting I liked best.
hua4B,24,Novice,1,no,Right,4,Male,Yes,no just my memory,which i liked more,no,which i thought had more value
icC9x,26,Novice,1,Nothing was unclear.,Right,4,Male,Yes,I tried to go with paintings that sold well in the previous phase.,I just tried to pick paintings I liked.,I chose pictures that did well in the first auction.,I just guessed.
jkOgb,26,Novice,2,no,Right,4,Male,Yes,no,no,no,I went with my gut
lktnl,32,Novice,1,n/a,Right,4,Male,Yes,Nothing in particular comes to mind.,No,No,I guessed. No thought process occurred to me in the moment.
mTiCV,33,Enthusiast,3,Nope,Right,4,Male,Yes,"A little, I leaned toward what had been proven to make money.",A bit of split between my preferences and what I think general public might like.,Not really,Personal preference of which I like better in the moment.
nD3lS,23,Novice,0,No,Right,4,Female,Yes,I didn't use any strategy in particular,I chose which one seemed more appealing to the eye,No,I just chose which one would seem more popular
ntwxN,30,Novice,0,no,Left,4,Female,Yes,no,no,Which one I thought was more expensive ,I based it on what I liked
qkwlL,25,Enthusiast,1,"No, the instructions were quite clear.",Right,4,Female,Yes,"I tried to choose the exact ones that were shown to have made a profit, and other paintings similar to them.","Not really-- I just picked the ones that drew my attention, were well-painted, or had some quirk that I liked.","I mostly just stuck to my guns. In the rare event that I changed my decision, it was because I had a feeling it would appeal more to the mainstream.",I usually chose whichever looked more like one of the paintings that had a positive outcome.
qnqjP,33,Enthusiast,2,Not at all.,Right,4,Male,Yes,"No specific strategy, I tried to rely solely on what I could remember.","No specific strategy, I was limited on information at this point. I relied on what I personally felt would be worth more.",No specific strategy.,"I assumed the worst in a situation where there was uncertainty, so I used what I did know to make my decision."
r47C7,30,Novice,0,No,Right,4,Female,Yes,I went off memory over what I saw was worth a gain in value.,No,No,I went off what I thought subjectively.
rLxNZ,29,Enthusiast,5,"None at all, thank you!",Right,4,Female,Yes,None at all; I just picked which one appealed to me more and was most aesthetic.,Not particularly.,"Not particularly; again, mostly off of aesthetic and what appealed to me most.",I used my best assumption.
rcrii,28,Novice,0,none,Right,4,Male,Yes,no strategy,"not exactly, other than choosing what looked appealing to me",none,based off of what i liked
s9DZu,25,Novice,0,,Left,4,Male,Yes,I just chose which paintings I remembered having a profit,,,I did an intuition type of feeling as to how similar it was to the paintings that had value
sHdCP,35,Novice,0,,Right,4,Male,Yes,Memorize which paintings offered gains and choose those for the portfolio,No,Pick the paintings which will result in a gain,I just picked those at random since I didn't know their valuations. It wouldn't make a difference since I have no idea which will result in a gain.
skpJF,31,Enthusiast,3,No,Right,4,Male,Yes,I chose it based on what I thought made money. ,Just what I thought would look nicer in a modern home. ,Same as the first. Just seeing what I thought looked better in a modern home. ,I just tried to remember if the one it was going against made money or not and then I stuck with more fruit and faces. 
tSAyb,28,Novice,1,Nothing was unclear.,Right,4,Male,Yes,"No, I just picked the ones I liked better.","No, I just picked the ones I liked more.",No.,If one of the paintings was known to be a loss I tried to pick the unknown outcome painting.
uNBH0,28,Novice,0,no,Right,4,Male,Yes,none,none,none,which ones i liked the most
uyN4i,30,Novice,1,no,Right,4,Male,Yes,I tried to memorize colors and shapes.,I chose to the best of my abilities ,I tried to determine the best looking price,I decided based on memory.
vdu8d,35,Enthusiast,2,"I just wasn't sure if paintings that were valuable in the first phase would also carry over in value to the second phase, and therefore should always be chosen",Right,4,Male,Yes,"Not exactly, no",Sort of the same; chose things that felt like they would be considered valuable,Just tried to choose ones that made me money from the first phase,Just tried to imagine what looked more like a classic (valuable) painting
viZGV,27,Novice,1,Straightforward study. ,Right,4,Male,Yes,I didn't have any specific strategy in mind. ,I chose which I thought would appeal to the most people. ,Not specifically. ,I simply decided to use the information I had and make the best decision from there. 
vk7bM,31,Enthusiast,4,none,Right,4,Male,Yes,none,no,none,i selected the  ones i liked most 
vvHfd,30,Novice,0,"no, instructions were clear.",Right,4,Male,Yes,not really,Just those I thought would appeal to more people.,Just those I thought would appeal to more people.,"I guessed on those ones, deciding which more people might like."
wws6x,24,Enthusiast,3,No,Left,4,Male,Yes,No,No,No,I decided based on what I thought what was a good choice
xcXOL,26,Enthusiast,2,no,Right,4,Female,Yes,no,no,no,based on quality 
xzJUc,32,Novice,0,No,Right,4,Male,Yes,"I assume this is asking about the part where I have been told to put paintings together to amass a high value art collection. I think I was able to remember all the paintings that were showed as being profitable from the previous page, so I always picked those. For the others, I tried to pick paintings that were similar to the paintings that I knew were valuable.","Yes, I tried to pick paintings that looked unique and classy. I also tried to pick paintings using my general knowledge of what paintings would be valuable.","Yes, I picked the paintings that I knew were valuable and for the unknown paintings I picked the ones that seemed similar to the valuable paintings.",I tried to pick paintings with similar characteristics to the paintings that had good auction outcomes.
yzilp,26,Novice,1,no,Right,4,Female,Yes,No,no,no,i picked what i thought others would like most
