,version,group,PID,phase,block,condition,trial,chosen_trial,gain_left,stimulus_left,stimulus_right,painting_left,painting_right,rating_left,rating_right,left_chosen,chosen_obj,unchosen_obj,higher_outcome_chosen,rt,zscored_rt,delta_ratings,zcored_rating_left,zcored_rating_right,zscored_delta_ratings
158,V1,d09142021,CDRCj,final_decisions,1.0,0.0,14.0,1.0,0.0,31.0,68.0,Picac1.jpg,Mondb1.jpg,68.0,62.0,0.0,68.0,31.0,1.0,1.047,0.9340045225949584,6.0,0.5686493823959976,0.2847190388973025,0.28393034349869506
159,V1,d09142021,CDRCj,final_decisions,1.0,1.0,15.0,0.0,0.0,11.0,29.0,Clifa1.jpg,Klinb1.jpg,63.0,41.0,1.0,11.0,29.0,0.0,0.8079999999999999,-0.1863711927732072,22.0,0.3320407628137517,-0.7090371633481303,1.041077926161882
160,V1,d09142021,CDRCj,final_decisions,1.0,1.0,16.0,0.0,0.0,10.0,48.0,Vinb1n.jpg,Maca1n.jpg,70.0,67.0,1.0,10.0,48.0,0.0,1.038,0.8918146420999234,3.0,0.663292830228896,0.5213276584795484,0.14196517174934753
161,V1,d09142021,CDRCj,final_decisions,1.0,1.0,17.0,1.0,1.0,5.0,8.0,Pica1n.jpg,Picd1n.jpg,57.0,64.0,1.0,5.0,8.0,1.0,0.963,0.5402323046412936,-7.0,0.04811041931505662,0.3793624867302009,-0.3312520674151443
162,V1,d09142021,CDRCj,final_decisions,1.0,0.0,18.0,1.0,1.0,63.0,21.0,Lewia1.jpg,Kupkc1.jpg,68.0,67.0,1.0,63.0,21.0,1.0,0.968,0.5636711271385355,1.0,0.5686493823959976,0.5213276584795484,0.047321723916449177
163,V1,d09142021,CDRCj,final_decisions,1.0,0.0,19.0,1.0,1.0,68.0,53.0,Mondb1.jpg,Macc1n.jpg,62.0,63.0,1.0,68.0,53.0,1.0,0.948,0.4699158371495676,-1.0,0.2847190388973025,0.3320407628137517,-0.047321723916449177
164,V1,d09142021,CDRCj,final_decisions,1.0,0.0,20.0,0.0,1.0,47.0,69.0,Vina1n.jpg,Picad1.jpg,71.0,40.0,1.0,47.0,69.0,1.0,1.287,2.059068002462573,31.0,0.7106145541453451,-0.7563588872645794,1.4669734414099245
165,V1,d09142021,CDRCj,final_decisions,1.0,0.0,21.0,0.0,0.0,46.0,47.0,Lewb1n.jpg,Vina1n.jpg,59.0,71.0,0.0,47.0,46.0,1.0,1.0,0.7136795911208843,-12.0,0.142753867147955,0.7106145541453451,-0.5678606869973901
166,V1,d09142021,CDRCj,final_decisions,1.0,0.0,22.0,0.0,1.0,30.0,46.0,Kraa1n.jpg,Lewb1n.jpg,38.0,59.0,1.0,30.0,46.0,1.0,0.8640000000000001,0.07614361919590264,-21.0,-0.8510023350974778,0.142753867147955,-0.9937562022454328
167,V1,d09142021,CDRCj,final_decisions,1.0,1.0,23.0,1.0,0.0,55.0,12.0,Clia1n.jpg,Klie1n.jpg,57.0,62.0,0.0,12.0,55.0,1.0,0.93,0.3855360761594969,-5.0,0.04811041931505662,0.2847190388973025,-0.23660861958224594
168,V1,d09142021,CDRCj,final_decisions,1.0,0.0,24.0,1.0,0.0,21.0,68.0,Kupkc1.jpg,Mondb1.jpg,67.0,62.0,0.0,68.0,21.0,1.0,0.846,-0.008236141794168537,5.0,0.5213276584795484,0.2847190388973025,0.2366086195822459
169,V1,d09142021,CDRCj,final_decisions,1.0,0.0,25.0,0.0,0.0,26.0,47.0,Klid1n.jpg,Vina1n.jpg,58.0,71.0,0.0,47.0,26.0,1.0,1.124,1.2949623890524855,-13.0,0.0954321432315058,0.7106145541453451,-0.6151824109138393
170,V1,d09142021,CDRCj,final_decisions,1.0,1.0,26.0,0.0,1.0,37.0,45.0,Deka1n.jpg,Lasc1n.jpg,40.0,67.0,1.0,37.0,45.0,1.0,0.868,0.09489467719369624,-27.0,-0.7563588872645794,0.5213276584795484,-1.2776865457441278
171,V1,d09142021,CDRCj,final_decisions,1.0,1.0,27.0,1.0,0.0,39.0,44.0,Kupb1n.jpg,Mackb1.jpg,61.0,42.0,0.0,44.0,39.0,1.0,1.236,1.8199920129907048,19.0,0.2373973149808533,-0.6617154394316811,0.8991127544125345
172,V1,d09142021,CDRCj,final_decisions,1.0,1.0,28.0,1.0,0.0,8.0,12.0,Picd1n.jpg,Klie1n.jpg,64.0,62.0,0.0,12.0,8.0,1.0,0.84,-0.03636272879085893,2.0,0.3793624867302009,0.2847190388973025,0.09464344783289837
173,V1,d09142021,CDRCj,final_decisions,1.0,0.0,29.0,1.0,1.0,42.0,31.0,Mackc1.jpg,Picac1.jpg,68.0,68.0,1.0,42.0,31.0,1.0,0.688,-0.748902932707015,0.0,0.5686493823959976,0.5686493823959976,0.0
174,V1,d09142021,CDRCj,final_decisions,1.0,1.0,30.0,1.0,1.0,5.0,55.0,Pica1n.jpg,Clia1n.jpg,57.0,57.0,1.0,5.0,55.0,1.0,0.604,-1.14267515066068,0.0,0.04811041931505662,0.04811041931505662,0.0
175,V1,d09142021,CDRCj,final_decisions,1.0,1.0,31.0,1.0,1.0,12.0,39.0,Klie1n.jpg,Kupb1n.jpg,62.0,61.0,1.0,12.0,39.0,1.0,0.69,-0.7395274037081182,1.0,0.2847190388973025,0.2373973149808533,0.0473217239164492
176,V1,d09142021,CDRCj,final_decisions,1.0,1.0,32.0,0.0,1.0,48.0,45.0,Maca1n.jpg,Lasc1n.jpg,67.0,67.0,1.0,48.0,45.0,1.0,1.0,0.7136795911208843,0.0,0.5213276584795484,0.5213276584795484,0.0
177,V1,d09142021,CDRCj,final_decisions,1.0,1.0,33.0,0.0,0.0,10.0,29.0,Vinb1n.jpg,Klinb1.jpg,70.0,41.0,1.0,10.0,29.0,0.0,1.199,1.646544726511115,29.0,0.663292830228896,-0.7090371633481303,1.372329993577026
178,V1,d09142021,CDRCj,final_decisions,1.0,1.0,34.0,1.0,0.0,8.0,44.0,Picd1n.jpg,Mackb1.jpg,64.0,42.0,0.0,44.0,8.0,1.0,0.735,-0.5285780012329403,22.0,0.3793624867302009,-0.6617154394316811,1.041077926161882
179,V1,d09142021,CDRCj,final_decisions,1.0,0.0,35.0,0.0,0.0,69.0,56.0,Picad1.jpg,Clib1n.jpg,40.0,61.0,0.0,56.0,69.0,1.0,0.893,0.2120887896799062,-21.0,-0.7563588872645794,0.2373973149808533,-0.9937562022454328
180,V1,d09142021,CDRCj,final_decisions,2.0,0.0,36.0,0.0,0.0,46.0,47.0,Lewb1n.jpg,Vina1n.jpg,59.0,71.0,0.0,47.0,46.0,1.0,0.857,0.04332926769976385,-12.0,0.142753867147955,0.7106145541453451,-0.5678606869973901
181,V1,d09142021,CDRCj,final_decisions,2.0,0.0,37.0,0.0,1.0,56.0,69.0,Clib1n.jpg,Picad1.jpg,61.0,40.0,1.0,56.0,69.0,1.0,0.968,0.5636711271385355,21.0,0.2373973149808533,-0.7563588872645794,0.9937562022454328
182,V1,d09142021,CDRCj,final_decisions,2.0,0.0,38.0,0.0,1.0,47.0,26.0,Vina1n.jpg,Klid1n.jpg,71.0,58.0,1.0,47.0,26.0,1.0,0.968,0.5636711271385355,13.0,0.7106145541453451,0.0954321432315058,0.6151824109138393
183,V1,d09142021,CDRCj,final_decisions,2.0,0.0,39.0,1.0,1.0,42.0,53.0,Mackc1.jpg,Macc1n.jpg,68.0,63.0,1.0,42.0,53.0,1.0,0.7979999999999999,-0.23324883776769115,5.0,0.5686493823959976,0.3320407628137517,0.2366086195822459
184,V1,d09142021,CDRCj,final_decisions,2.0,0.0,40.0,1.0,0.0,31.0,42.0,Picac1.jpg,Mackc1.jpg,68.0,68.0,0.0,42.0,31.0,1.0,0.7120000000000001,-0.6363965847202534,0.0,0.5686493823959976,0.5686493823959976,0.0
185,V1,d09142021,CDRCj,final_decisions,2.0,1.0,41.0,0.0,0.0,45.0,37.0,Lasc1n.jpg,Deka1n.jpg,67.0,40.0,0.0,37.0,45.0,1.0,0.774,-0.3457551857544527,27.0,0.5213276584795484,-0.7563588872645794,1.2776865457441278
186,V1,d09142021,CDRCj,final_decisions,2.0,0.0,42.0,0.0,0.0,69.0,47.0,Picad1.jpg,Vina1n.jpg,40.0,71.0,0.0,47.0,69.0,1.0,0.7440000000000001,-0.4863881207379047,-31.0,-0.7563588872645794,0.7106145541453451,-1.4669734414099245
187,V1,d09142021,CDRCj,final_decisions,2.0,0.0,43.0,1.0,0.0,31.0,63.0,Picac1.jpg,Lewia1.jpg,68.0,68.0,0.0,63.0,31.0,1.0,0.706,-0.6645231717169439,0.0,0.5686493823959976,0.5686493823959976,0.0
188,V1,d09142021,CDRCj,final_decisions,2.0,0.0,44.0,0.0,1.0,56.0,26.0,Clib1n.jpg,Klid1n.jpg,61.0,58.0,1.0,56.0,26.0,1.0,0.91,0.291780786170529,3.0,0.2373973149808533,0.0954321432315058,0.14196517174934753
189,V1,d09142021,CDRCj,final_decisions,2.0,1.0,45.0,1.0,1.0,12.0,8.0,Klie1n.jpg,Picd1n.jpg,62.0,64.0,1.0,12.0,8.0,1.0,0.7140000000000001,-0.6270210557213566,-2.0,0.2847190388973025,0.3793624867302009,-0.09464344783289837
190,V1,d09142021,CDRCj,final_decisions,2.0,1.0,46.0,1.0,0.0,55.0,5.0,Clia1n.jpg,Pica1n.jpg,57.0,57.0,0.0,5.0,55.0,1.0,0.9279999999999999,0.37616054716060016,0.0,0.04811041931505662,0.04811041931505662,0.0
191,V1,d09142021,CDRCj,final_decisions,2.0,0.0,47.0,1.0,0.0,53.0,63.0,Macc1n.jpg,Lewia1.jpg,63.0,68.0,0.0,63.0,53.0,1.0,0.895,0.22146431867880295,-5.0,0.3320407628137517,0.5686493823959976,-0.2366086195822459
192,V1,d09142021,CDRCj,final_decisions,2.0,1.0,48.0,1.0,1.0,44.0,8.0,Mackb1.jpg,Picd1n.jpg,42.0,64.0,1.0,44.0,8.0,1.0,0.8440000000000001,-0.01761167079306534,-22.0,-0.6617154394316811,0.3793624867302009,-1.041077926161882
193,V1,d09142021,CDRCj,final_decisions,2.0,0.0,49.0,1.0,0.0,21.0,63.0,Kupkc1.jpg,Lewia1.jpg,67.0,68.0,0.0,63.0,21.0,1.0,0.665,-0.8567215161943277,-1.0,0.5213276584795484,0.5686493823959976,-0.047321723916449177
194,V1,d09142021,CDRCj,final_decisions,2.0,1.0,50.0,0.0,0.0,45.0,29.0,Lasc1n.jpg,Klinb1.jpg,67.0,41.0,1.0,45.0,29.0,0.0,1.274,1.9981270639697444,26.0,0.5213276584795484,-0.7090371633481303,1.2303648218276786
195,V1,d09142021,CDRCj,final_decisions,2.0,0.0,51.0,0.0,0.0,69.0,30.0,Picad1.jpg,Kraa1n.jpg,40.0,38.0,0.0,30.0,69.0,1.0,0.841,-0.031674964291410534,2.0,-0.7563588872645794,-0.8510023350974778,0.09464344783289837
196,V1,d09142021,CDRCj,final_decisions,2.0,1.0,52.0,0.0,0.0,11.0,37.0,Clifa1.jpg,Deka1n.jpg,63.0,40.0,1.0,11.0,37.0,0.0,0.7829999999999999,-0.3035653052594171,23.0,0.3320407628137517,-0.7563588872645794,1.0883996500783308
197,V1,d09142021,CDRCj,final_decisions,2.0,0.0,53.0,0.0,1.0,56.0,46.0,Clib1n.jpg,Lewb1n.jpg,61.0,59.0,1.0,56.0,46.0,1.0,0.8859999999999999,0.1792744381837674,2.0,0.2373973149808533,0.142753867147955,0.09464344783289837
198,V1,d09142021,CDRCj,final_decisions,2.0,1.0,54.0,1.0,0.0,39.0,12.0,Kupb1n.jpg,Klie1n.jpg,61.0,62.0,0.0,12.0,39.0,1.0,0.773,-0.3504429502539011,-1.0,0.2373973149808533,0.2847190388973025,-0.0473217239164492
199,V1,d09142021,CDRCj,final_decisions,2.0,1.0,55.0,1.0,0.0,8.0,5.0,Picd1n.jpg,Pica1n.jpg,64.0,57.0,0.0,5.0,8.0,1.0,0.8029999999999999,-0.20981001527044915,7.0,0.3793624867302009,0.04811041931505662,0.3312520674151443
200,V1,d09142021,CDRCj,final_decisions,2.0,1.0,56.0,0.0,1.0,48.0,11.0,Maca1n.jpg,Clifa1.jpg,67.0,63.0,0.0,11.0,48.0,0.0,0.935,0.4089748986567389,4.0,0.5213276584795484,0.3320407628137517,0.1892868956657967
201,V1,d09142021,CDRCj,final_decisions,2.0,0.0,57.0,0.0,1.0,30.0,26.0,Kraa1n.jpg,Klid1n.jpg,38.0,58.0,1.0,30.0,26.0,1.0,0.87,0.10427020619259304,-20.0,-0.8510023350974778,0.0954321432315058,-0.9464344783289836
202,V1,d09142021,CDRCj,final_decisions,2.0,0.0,58.0,1.0,1.0,42.0,21.0,Mackc1.jpg,Kupkc1.jpg,68.0,67.0,1.0,42.0,21.0,1.0,0.91,0.291780786170529,1.0,0.5686493823959976,0.5213276584795484,0.047321723916449177
203,V1,d09142021,CDRCj,final_decisions,2.0,0.0,59.0,1.0,1.0,68.0,53.0,Mondb1.jpg,Macc1n.jpg,62.0,63.0,1.0,68.0,53.0,1.0,0.742,-0.4957636497368015,-1.0,0.2847190388973025,0.3320407628137517,-0.047321723916449177
204,V1,d09142021,CDRCj,final_decisions,2.0,1.0,60.0,1.0,1.0,5.0,39.0,Pica1n.jpg,Kupb1n.jpg,57.0,61.0,1.0,5.0,39.0,1.0,1.004,0.732430649118678,-4.0,0.04811041931505662,0.2373973149808533,-0.1892868956657967
205,V1,d09142021,CDRCj,final_decisions,2.0,0.0,61.0,0.0,0.0,46.0,30.0,Lewb1n.jpg,Kraa1n.jpg,59.0,38.0,0.0,30.0,46.0,1.0,0.934,0.4042871341572905,21.0,0.142753867147955,-0.8510023350974778,0.9937562022454328
206,V1,d09142021,CDRCj,final_decisions,2.0,1.0,62.0,1.0,1.0,12.0,55.0,Klie1n.jpg,Clia1n.jpg,62.0,57.0,1.0,12.0,55.0,1.0,0.877,0.13708455768873182,5.0,0.2847190388973025,0.04811041931505662,0.23660861958224594
207,V1,d09142021,CDRCj,final_decisions,2.0,1.0,63.0,1.0,0.0,39.0,44.0,Kupb1n.jpg,Mackb1.jpg,61.0,42.0,0.0,44.0,39.0,1.0,0.672,-0.8239071646981888,19.0,0.2373973149808533,-0.6617154394316811,0.8991127544125345
208,V1,d09142021,CDRCj,final_decisions,2.0,1.0,64.0,0.0,1.0,29.0,10.0,Klinb1.jpg,Vinb1n.jpg,41.0,70.0,0.0,10.0,29.0,0.0,0.863,0.07145585469645424,-29.0,-0.7090371633481303,0.663292830228896,-1.372329993577026
209,V1,d09142021,CDRCj,final_decisions,2.0,1.0,65.0,0.0,1.0,29.0,11.0,Klinb1.jpg,Clifa1.jpg,41.0,63.0,0.0,11.0,29.0,0.0,0.7140000000000001,-0.6270210557213566,-22.0,-0.7090371633481303,0.3320407628137517,-1.041077926161882
210,V1,d09142021,CDRCj,final_decisions,2.0,1.0,66.0,0.0,1.0,48.0,45.0,Maca1n.jpg,Lasc1n.jpg,67.0,67.0,1.0,48.0,45.0,1.0,0.79,-0.27075095376327835,0.0,0.5213276584795484,0.5213276584795484,0.0
211,V1,d09142021,CDRCj,final_decisions,2.0,0.0,67.0,1.0,1.0,68.0,31.0,Mondb1.jpg,Picac1.jpg,62.0,68.0,1.0,68.0,31.0,1.0,1.078,1.0793252220778593,-6.0,0.2847190388973025,0.5686493823959976,-0.28393034349869506
212,V1,d09142021,CDRCj,final_decisions,2.0,1.0,68.0,0.0,1.0,37.0,10.0,Deka1n.jpg,Vinb1n.jpg,40.0,70.0,1.0,37.0,10.0,1.0,1.097,1.1683927475673783,-30.0,-0.7563588872645794,0.663292830228896,-1.4196517174934753
213,V1,d09142021,CDRCj,final_decisions,2.0,1.0,69.0,1.0,1.0,44.0,55.0,Mackb1.jpg,Clia1n.jpg,42.0,57.0,1.0,44.0,55.0,1.0,0.747,-0.4723248272395595,-15.0,-0.6617154394316811,0.04811041931505662,-0.7098258587467378
214,V1,d09142021,CDRCj,final_decisions,2.0,1.0,70.0,0.0,0.0,10.0,48.0,Vinb1n.jpg,Maca1n.jpg,70.0,67.0,0.0,48.0,10.0,1.0,0.875,0.12770902868983502,3.0,0.663292830228896,0.5213276584795484,0.14196517174934753
215,V1,d09142021,CDRCj,final_decisions,2.0,0.0,71.0,1.0,1.0,68.0,21.0,Mondb1.jpg,Kupkc1.jpg,62.0,67.0,1.0,68.0,21.0,1.0,0.701,-0.6879619942141858,-5.0,0.2847190388973025,0.5213276584795484,-0.2366086195822459
216,V1,d09142021,CDRCj,final_decisions,3.0,1.0,72.0,1.0,0.0,8.0,5.0,Picd1n.jpg,Pica1n.jpg,64.0,57.0,0.0,5.0,8.0,1.0,0.8,-0.22387330876879435,7.0,0.3793624867302009,0.04811041931505662,0.3312520674151443
217,V1,d09142021,CDRCj,final_decisions,3.0,0.0,73.0,0.0,1.0,47.0,26.0,Vina1n.jpg,Klid1n.jpg,71.0,58.0,1.0,47.0,26.0,1.0,0.6609999999999999,-0.8754725741921212,13.0,0.7106145541453451,0.0954321432315058,0.6151824109138393
218,V1,d09142021,CDRCj,final_decisions,3.0,0.0,74.0,0.0,1.0,47.0,69.0,Vina1n.jpg,Picad1.jpg,71.0,40.0,0.0,69.0,47.0,0.0,0.62,-1.0676709186695057,31.0,0.7106145541453451,-0.7563588872645794,1.4669734414099245
219,V1,d09142021,CDRCj,final_decisions,3.0,1.0,75.0,0.0,1.0,29.0,10.0,Klinb1.jpg,Vinb1n.jpg,41.0,70.0,0.0,10.0,29.0,0.0,1.361,2.4059625754217544,-29.0,-0.7090371633481303,0.663292830228896,-1.372329993577026
220,V1,d09142021,CDRCj,final_decisions,3.0,1.0,76.0,1.0,1.0,5.0,55.0,Pica1n.jpg,Clia1n.jpg,57.0,57.0,1.0,5.0,55.0,1.0,0.7190000000000001,-0.6035822332241146,0.0,0.04811041931505662,0.04811041931505662,0.0
221,V1,d09142021,CDRCj,final_decisions,3.0,0.0,77.0,1.0,1.0,68.0,31.0,Mondb1.jpg,Picac1.jpg,62.0,68.0,1.0,68.0,31.0,1.0,0.621,-1.0629831541700572,-6.0,0.2847190388973025,0.5686493823959976,-0.28393034349869506
222,V1,d09142021,CDRCj,final_decisions,3.0,0.0,78.0,1.0,0.0,31.0,63.0,Picac1.jpg,Lewia1.jpg,68.0,68.0,0.0,63.0,31.0,1.0,0.792,-0.2613754247643815,0.0,0.5686493823959976,0.5686493823959976,0.0
223,V1,d09142021,CDRCj,final_decisions,3.0,1.0,79.0,1.0,1.0,44.0,39.0,Mackb1.jpg,Kupb1n.jpg,42.0,61.0,1.0,44.0,39.0,1.0,0.62,-1.0676709186695057,-19.0,-0.6617154394316811,0.2373973149808533,-0.8991127544125345
224,V1,d09142021,CDRCj,final_decisions,3.0,0.0,80.0,1.0,1.0,42.0,31.0,Mackc1.jpg,Picac1.jpg,68.0,68.0,1.0,42.0,31.0,1.0,0.583,-1.2411182051490963,0.0,0.5686493823959976,0.5686493823959976,0.0
225,V1,d09142021,CDRCj,final_decisions,3.0,1.0,81.0,1.0,1.0,5.0,39.0,Pica1n.jpg,Kupb1n.jpg,57.0,61.0,1.0,5.0,39.0,1.0,0.64,-0.9739156286805376,-4.0,0.04811041931505662,0.2373973149808533,-0.1892868956657967
226,V1,d09142021,CDRCj,final_decisions,3.0,0.0,82.0,0.0,1.0,30.0,69.0,Kraa1n.jpg,Picad1.jpg,38.0,40.0,1.0,30.0,69.0,1.0,0.6679999999999999,-0.8426582226959825,-2.0,-0.8510023350974778,-0.7563588872645794,-0.09464344783289837
227,V1,d09142021,CDRCj,final_decisions,3.0,1.0,83.0,0.0,1.0,29.0,11.0,Klinb1.jpg,Clifa1.jpg,41.0,63.0,0.0,11.0,29.0,0.0,0.627,-1.0348565671733667,-22.0,-0.7090371633481303,0.3320407628137517,-1.041077926161882
228,V1,d09142021,CDRCj,final_decisions,3.0,0.0,84.0,1.0,1.0,68.0,21.0,Mondb1.jpg,Kupkc1.jpg,62.0,67.0,1.0,68.0,21.0,1.0,0.61,-1.1145485636639896,-5.0,0.2847190388973025,0.5213276584795484,-0.2366086195822459
229,V1,d09142021,CDRCj,final_decisions,3.0,0.0,85.0,0.0,0.0,46.0,56.0,Lewb1n.jpg,Clib1n.jpg,59.0,61.0,0.0,56.0,46.0,1.0,0.622,-1.0582953896706089,-2.0,0.142753867147955,0.2373973149808533,-0.09464344783289837
230,V1,d09142021,CDRCj,final_decisions,3.0,1.0,86.0,0.0,1.0,48.0,11.0,Maca1n.jpg,Clifa1.jpg,67.0,63.0,1.0,48.0,11.0,1.0,0.6459999999999999,-0.9457890416838473,4.0,0.5213276584795484,0.3320407628137517,0.1892868956657967
231,V1,d09142021,CDRCj,final_decisions,3.0,1.0,87.0,0.0,0.0,45.0,37.0,Lasc1n.jpg,Deka1n.jpg,67.0,40.0,0.0,37.0,45.0,1.0,0.71,-0.6457721137191502,27.0,0.5213276584795484,-0.7563588872645794,1.2776865457441278
232,V1,d09142021,CDRCj,final_decisions,3.0,0.0,88.0,1.0,0.0,53.0,63.0,Macc1n.jpg,Lewia1.jpg,63.0,68.0,0.0,63.0,53.0,1.0,0.657,-0.8942236321899149,-5.0,0.3320407628137517,0.5686493823959976,-0.2366086195822459
233,V1,d09142021,CDRCj,final_decisions,3.0,1.0,89.0,1.0,1.0,12.0,55.0,Klie1n.jpg,Clia1n.jpg,62.0,57.0,1.0,12.0,55.0,1.0,0.682,-0.7770295197037048,5.0,0.2847190388973025,0.04811041931505662,0.23660861958224594
234,V1,d09142021,CDRCj,final_decisions,3.0,1.0,90.0,0.0,1.0,37.0,10.0,Deka1n.jpg,Vinb1n.jpg,40.0,70.0,1.0,37.0,10.0,1.0,0.767,-0.3785695372505915,-30.0,-0.7563588872645794,0.663292830228896,-1.4196517174934753
235,V1,d09142021,CDRCj,final_decisions,3.0,0.0,91.0,1.0,0.0,53.0,68.0,Macc1n.jpg,Mondb1.jpg,63.0,62.0,0.0,68.0,53.0,1.0,0.69,-0.7395274037081182,1.0,0.3320407628137517,0.2847190388973025,0.047321723916449177
236,V1,d09142021,CDRCj,final_decisions,3.0,1.0,92.0,0.0,0.0,11.0,37.0,Clifa1.jpg,Deka1n.jpg,63.0,40.0,1.0,11.0,37.0,0.0,0.78,-0.31762859875776234,23.0,0.3320407628137517,-0.7563588872645794,1.0883996500783308
237,V1,d09142021,CDRCj,final_decisions,3.0,0.0,93.0,1.0,1.0,63.0,21.0,Lewia1.jpg,Kupkc1.jpg,68.0,67.0,1.0,63.0,21.0,1.0,1.12,1.276211331054692,1.0,0.5686493823959976,0.5213276584795484,0.047321723916449177
238,V1,d09142021,CDRCj,final_decisions,3.0,1.0,94.0,1.0,0.0,39.0,12.0,Kupb1n.jpg,Klie1n.jpg,61.0,62.0,0.0,12.0,39.0,1.0,1.0659999999999998,1.0230720480844786,-1.0,0.2373973149808533,0.2847190388973025,-0.0473217239164492
239,V1,d09142021,CDRCj,final_decisions,3.0,1.0,95.0,0.0,0.0,10.0,48.0,Vinb1n.jpg,Maca1n.jpg,70.0,67.0,0.0,48.0,10.0,1.0,1.222,1.7543633099984275,3.0,0.663292830228896,0.5213276584795484,0.14196517174934753
240,V1,d09142021,CDRCj,final_decisions,3.0,0.0,96.0,0.0,0.0,46.0,47.0,Lewb1n.jpg,Vina1n.jpg,59.0,71.0,0.0,47.0,46.0,1.0,0.971,0.5777344206368807,-12.0,0.142753867147955,0.7106145541453451,-0.5678606869973901
