PID,age,art_experience,art_time_spent,clear_instructions,dominant_hand,fluency,gender,native_language,strategy_FD,strategy_deliberation,strategy_interference,strategy_unchosen,Exp
2pmGK,26,Enthusiast,3,"Nope, everything was perfect ",Left,4,Male,Yes,"I would do what felt right, not try to think about everything but rather use intuition ",not really ,not really ,I used intuition and hoped for the best results ,Exp1
2qbeN,26,Novice,0,No,Right,4,Female,Yes,No,No,By trying to think where better. ,By going off what was good in the auctions. ,Exp1
2tQFn,29,Enthusiast,1,Nope!,Right,4,Male,Yes,Not really.  Vote for which paintings looked better.,Not really.,Memory of what paid off.,Trends.  I went off of trends.,Exp1
2te35,31,Enthusiast,3,No everything was clear.,Right,4,Male,Yes,"I tried to remember what paintings were paired with gaining paintings and used that to make my decisions. If I wasn't sure, I guessed until I saw that painting In a choice that I Knew had a gaining painting and I assigned the unsure painting to no earnings in my mind. I did that process in reverse also to learn a gaining painting that I wasn't sure of.","I just went with feeling mostly, or which one I thought was prettier.","I may have let my decisions from the previous auction influence my thoughts. I was finding it hard to switch my decisions from the first auction. I tried to pull back and examine paintings objectively, but i could tell I was more attracted to paintings I had previously picked.",I tried to remember what painting It was paired with and If that painting was a gainer or no earner. I had just assumed that there wouldn't be two gainers or non earners in the same choice.,Exp1
2vThP,33,Enthusiast,10,No,Right,4,Female,Yes,Just went with what I knew had a gain previously.,I chose what I liked,Stayed consistent with what I liked for the most part.,what was more appealing to me,Exp1
2ykth,28,Novice,1,No,Right,4,Female,Yes,I did the best I could remembering what art gave me money.,"No, I guessed at first.",Just relying on what I knew before.,"I really had to guess, as I did not remember.",Exp1
339Ys,32,Novice,2,Everything was clear to me and explained thoroughly. ,Right,4,Male,Yes,I just tried to pick whichever art I thought would sell for the most at a real auction based on the quality and other aspects of the art. ,I just tried to choose the most valuable looking art out of the options.,Same strategy I used before. ,I picked the painting I thought was worth more in my eyes.,Exp1
3C4ri,29,Novice,1,No,Right,4,Female,Yes,I recalled what had gains and what didn't from the previous phase and then made inferences based on my preferences and similarity of art styles,Personal preferences and some knowledge I have of art,Recalled what had gains from the first auction and then made best guesses for those that were new,I chose them based on similarities to those that had gains and personal preference,Exp1
3GXsH,32,Enthusiast,5,No.,Right,4,Female,Yes,It seemed like people prefer bright paintings with beautiful people but even that wasn't 100%,Which ones I thought would bring a mood to a room if someone bought it. Usually picked the more expressive people.,Same as before.,"Whoever looked more attractive or had more color, generally.",Exp1
3JUCD,29,Novice,0,No,Right,4,Female,Yes,No,Just what I liked.,Just what I liked.,I'm really not sure. By that point I was all confused.,Exp1
3sSYQ,29,Enthusiast,3,No,Right,4,Female,Yes,I tried to look at details and color.,I looked at detail and color.,I looked at details and which one I thought would sell.,If the painting it was paired with had no gain then I picked the painting I didn't see.,Exp1
4O32K,29,Enthusiast,1,No,Right,4,Female,Yes,I tried to remember which paintings had the gains. The rest I went on instinct.,I looked at the style and whether or not it was speaking to me.,Same strategy. I did also try to be objective and base it on whether someone else would like it other than myself.,I went on instinct based on the style of the art,Exp1
4kMBy,26,Novice,0-1,No,Right,4,Male,Yes,No,Not particularly,Tried to base my choices with the results of the first auction in mind,"Tried to base my choice off of the information of the paintings that I knew - if all else failed, I went with my gut",Exp1
52UGI,32,Enthusiast,5,,Left,4,Female,Yes,I didn't use any strategy ,,,I just went with my gut instinct,Exp1
5CXOL,22,Novice,0,N/A,Right,4,Male,Yes,"I memorized which ones earned a profit, so I selected those for the high earning portfolio","Strictly which one I liked, and that stayed consistent through the practice and real trials",Same as the first,I just went with what I knew about the painting I knew about already,Exp1
5FkA1,31,Enthusiast,1,No,Right,4,Female,Yes,I tried remembering which ones gained and didn't gain from the previous one. I also tried to think of an attribute that all the gained ones had.,"No, I went off what I liked.",,I used the attribute I thought was causing the gain.,Exp1
5RMsI,23,Novice,1,No,Right,4,Female,Yes,I tried to remember what would have the greatest profit. ,"No, I chose what I liked the best. ",No,I chose the one I thought would make a better profit. ,Exp1
5T3lU,28,Novice,0,nothing was unclear in any of the instructions ,Left,4,Female,Yes,the one i thought was the ugliest and more abstract ,just the ones i liked and the ugliest ones is what i went with ,same as the first ,stuck with my stratagy and went with also the ones that spoke to me more i chose ,Exp1
5YLpT,34,Novice,0,No.,Right,4,Male,Yes,I tried to go with paintings that I thought other people would be interested in. In the past it seems like I like more realistic paintings but other people don't as much.,I tried to base it on what I thought other people would be interested in.,Pretty much the same as the first auction.,"Based on the outcomes I saw, and how I thought the ones I didn't see would be similar to the ones I did see.",Exp1
5ZBHb,32,Novice,5,No everything was very clear and understandable. ,Right,4,Female,Yes,"Other then mainly just remembering what I picked or if the painting was good compared to the one next to it or not, no. ",I picked once one peeked my interest more. Or looked more colorful ,I tried to remember which one I picked for the prior auction. ,I tried to chose ones that I had previously chose. Or if I could remember whether they made profit or not from the auction. ,Exp1
5jaFQ,29,Novice,.5,"Not from what I can garner across the entire process, they worked pretty well!",Right,4,Male,Yes,"When deciding on what painting to pick and how to merit if they would sell well or not, I would look for a few criteria. specifically, is it unique, is it easy to understand or complex, how do the colors work, how is the quality of the work, how old is it, and other such factors. the last one is how easily can someone look at the piece of art and place themselves into it and the scenario.","I was largely focused on the quality of the piece and how it would be if I was debating between these two pieces in what I deem is important for art, if I were to own it. I like quality pieces of art, but mainly ones that have a deeper meaning, or are able for people to attach themselves to them and get a deeper thought process rather than simply look at it.","I followed a pretty similar one from the first auction, but I did start to consider the potential age of the pieces and how this may affect their value and importance to buyers.",I went off my experience from the ones I did see how they faired and what I feel they would have gained or not gained from an auction.,Exp1
5y9oR,30,Enthusiast,10,Everything was clear and easy to follow,Right,4,Female,Yes,I tried to remember which paintings were auctioned for a gain and keep them all straight in my head. ,I chose the ones that were most appealing to me personally,I again chose the ones that were most appealing to me,"If I could remember if one of them was for a profit, I chose that one.",Exp1
61D1n,23,Novice,0,no,Right,4,Female,Yes,no,emotions and how it made me feel,no,gut feeling,Exp1
6qZr0,25,Novice,2,"I did not understand the final round instructions, so it took me a few times to get the questions right.",Right,4,Female,Yes,I tried to quickly quiz myself with each picture when I was seeing the gain or no gain to try and remember which ones gained. I also tried to pick parts of the paintings that stood out to me so I would remember them.,Just which pictures I liked the most and made me feel happier,"I did not choose pictures (or I tried not to- I didn't remember all of the outcomes) that had lost money in round one, even if I really liked them.","If I liked them, I was more likely to say they were a gain. Also, if they were similar to other ones that gained or did not gain, I considered grouping them together.",Exp1
7950P,30,Enthusiast,1,"Nothing I thought of. If possible, Id provide a timer on each section if possible. For example I likely was rushing the 10 second timer sometimes just to ensure I was not penalized. Not sure how realistic that is to add to every page though!!",Right,4,Male,Yes,"I really just had profit on my mind, ensuring I had ones I knew were in the green and discarding others I knew had no value.",It was mostly my personal choosing based off of my own liking and what I usually see in museums. Detail and what I presumed to be time spent on the painting were definitely factors as well.,"Used past knowledge on the ones I surely recognized and did best effort on ones where I was a bit more unsure. I chose completed, detailed paintings that showed a rich and unique scene.",I tried to choose based off similar detailed and composition. I felt the less detailed pieces or the more modern pieces with rougher brushstrokes often had no value from before.,Exp1
79Qdg,30,Novice,1,no,Right,4,Male,Yes,no,no,no,instincts ,Exp1
7VLy4,34,Novice,0,No.,Right,4,Female,Yes,"My strategy at first was to use my gut feeling. I adjusted my choices when I saw which paintings were making a profit and which were not. The stage where we had 2.5 seconds to decide, I was all over the map. I tried to be consistent, but it wasn't a lot of time to remember if one of the paintings was a profitable one or not. I think I got one wrong by accidentally pressing the K because I'm right handed. I don't think I was consistent in making choices for the other paintings that were shown.","In the beginning, I just went with my gut feeling and chose the painting that appealed to me most.",I used a combination of gut feeling and using the profit information I was given.,"I tried to stay consistent and choose paintings that reminded me of the profitable paintings I was shown. However, 2.5 seconds to assess and make a choice is not long at all and I know I was not very consistent at all even when I tried to be.",Exp1
7XWFp,32,Enthusiast,5,Everything was clear.,Right,4,Male,Yes,"Not really, I saw no point changing my answers so I stuck with my initial decision. ",I went based off what I liked the most at the time for auction purposes. ,"Most of which should have followed through each phase of each auction. I didn't change much, if anything.",Total guess as we did not see their outcomes. ,Exp1
7czqL,34,Novice,0,Nothing in the instructions was unclear or confusing to me.,Right,4,Male,Yes,"The main strategy I used is to choose the paintings that seemed more unique and intriguing to me. Generally, I didn't choose portraits that seemed rather boring and uninteresting.",I really didn't have much of a strategy other than picking the painting that I personally enjoyed more.,"After the first auction, I knew the value of some of the paintings so I tried to choose those ones every time they came up.","I tried to follow my logic of choosing the painting that I found more interesting and intriguing, especially ones with lots of colors and an interesting scene.",Exp1
7wXtW,33,Novice,0,Nope. ,Right,4,Male,Yes,"Nope, I just judged them based on my opinions. ",I just guessed based on how attractive the paints were to me. ,Just guessed based on how I liked the paintings. ,I just guessed based on how much I appreciated them. ,Exp1
8MbrX,35,Novice,1,"No, there were none.",Right,4,Female,Yes,"Honestly, I did not use any strategies in the final decisions phase.",I did feel that the ones that contained more color and you can see the facial expression/ emotions on the characters faces were the one that would do better in the auction.,"Yes, I pretty much used the same strategy from the first, which was based on clarity of the image and colors used to highlight the features within the image.",I just chose the ones that I did remember viewing in the beginning stages. ,Exp1
8dLtU,35,Enthusiast,2,"No, all instructions were clear.",Right,4,Female,Yes,"I tried to consider how much I liked each painting, how much other people might like the painting, and how much the painting might earn me (especially in the second half of making decisions after finding out which paintings did or did not earn me money).",I just chose which paintings I liked best.,I tried to remember which paintings did or did not earn me money.,How similar the paintings might have been to paintings that did or did not earn me money.,Exp1
8gPGn,33,Enthusiast,1,No. The instructions were very clear. Thank you.,Right,4,Female,Yes,I did not use a strategy that I was aware of.,I just chose the ones that I thought people would like. No strategy really.,I just tried to choose the paintings that I thought would sell.,I tried to choose ones that were similar to the ones that I know sold. ,Exp1
8pRjy,23,Novice,2,"No, everything was clear and easy to understand",Right,4,Male,Yes,No I just tried my best from memory,No I just chose what I liked ,"No, just what I liked ","If I thought I remembered the other one as being a gain, then it lead me to believe the unknown was a loss and vice versa. ",Exp1
8vHyM,33,Enthusiast,0,No.,Right,4,Female,Yes,"No, I just tried to be real.",I just tried to pick a painting which resonated with me.,No.,I relied on photographic memory.,Exp1
8yogf,30,Novice,1,,Right,4,Male,Yes,I tried to look for better portraits,"I thought I did, but it did not feel like anything coherent.",I tried to see what ones went together and what I thought did well previous,I guessed based on the pricing of the other ones I received,Exp1
9pREq,24,Novice,0,no,Right,4,Male,Yes,"I just tried to remember what sold for gain in the previous scenario. Otherwise, I picked what I liked the most.",I just picked randomly and stuck to my choice.,I tried to remember what was good from the first auction.,I just picked the ones that were most appealing to me.,Exp1
9rEpX,25,Novice,1,No.,Right,4,Female,Yes,I used the strategy of trying to decipher which paintings might catch someones eye the most.,Which paintings I thought were the best personally/eye-catching.,The same strategy as the first: I chose which paintings I thought might capture attention the most.,I chose based on my gut feeling as well as the paintings I was shown and their probabilities.,Exp1
9s6hl,30,Artist,4,no,Right,4,Female,Yes,Not really,based on what I thought was popular,same strategy as first ,Based on the outcomes I did see and the style of the art,Exp1
9s8ph,31,Enthusiast,1,No,Left,4,Male,Yes,I simply chose the paintings I believed were the most authentic and old.,I went by how old the paintings looked and style of each painting.,No,"I thought if I chose the other painting and it was negative, then maybe the painting would be a positive gain.",Exp1
A7iWj,32,Artist,10,"No, the instructions were straightforward.",Right,4,Male,Yes,"Not exactly, I just trusted what felt right at the time.","Which paintings had the most interesting elements such as compositional elements, use of color and lines, depth of space, and what looked most appealing.","I used the same strategy for the first auction as the second auction, but the ones that I resonated with in the first auction if they were stronger than the paintings in the second, I had to choose those again.",Slightly based on preference but also what a general consensus would have in terms of determining what would be chosen in a real auction.,Exp1
A8WPp,33,Artist,10,Nothing.,Right,4,Female,Yes,"I mostly judged based on images I'd seen paired together before, but I had chosen the painting that had no gain at auction. I also chose the paintings I know had a gain because I chose the correct one. Failing that, I would pick the option that was more unique or aesthetically pleasing.","I judged the pictures based on my own opinions of art. I didn't think as much towards their potential for making a profit, but rather towards what a fellow artist or an art enthusiast might like in a statement piece.",I used the same decision-making process as the previous phase.,I gravitated towards whichever piece I personally liked more out of the pair.,Exp1
Am7dh,32,Enthusiast,0,,Left,4,Female,Yes,,"I chose what I liked, but looking back I should have thought more about what others would like.",,I just wasn't very sure so I guessed on what other people might have thought.,Exp1
AtAVC,32,Novice,0,"Yes, when I had to picked up and down arrows after the space bar.  I didn't figure it out until the second block.",Right,4,Female,Yes,"No, I picked what I like.","No, I chose painting that has the details, style, and color.","Yes, picked the painting with the most profit.",I picked what I like.,Exp1
AtJvf,20,Novice,1,"Yes, I don't think or I missed it in the first instructions, but when it asked the question on whether it would show the results on the first auction, in the second auction questions I don't remember it being mention. As in the 2nd auction check questions mention the first auction but didn't have any sentences in the 2nd instructions saying anything about that. Got that question wrong the first time.",Right,4,Female,Yes,Not particular to my own knowledge. Just did it from what I remember.,Went with what felt right at the time and based on what I know. Was surprised I got some right and others that I wasn't so surprised on.,What I chose in the first was what I would probably also choose in the second. Why change it when you aren't sure of the results beforehand.,Just from what I remember. Which is spotty. Once I got to a pairing that I did remember I knew that I made a mistake on a previous one that I said was intact but wasn't.,Exp1
B73tH,31,Enthusiast,1,"No, everything made sense",Right,4,Male,Yes,I went with my gut feeling,"No, there wasn't a strategy","No, there wasn't one",I went with my instincts,Exp1
BYbTS,22,Enthusiast,2,Not that I know of,Right,4,Female,Yes,No I did not,I just went with the paintings that I liked,I picked paintings that did well previously,I just picked whichever one I liked more,Exp1
BcmPt,25,Artist,20,No.,Right,4,Female,Yes,I just tried to remember what I was shown and how much they gained in part one.,No I just chose the one I liked most.,"No, I just remembered.",I didn't choose the one that I know didn't gain.,Exp1
BtztR,32,Novice,1,No,Right,4,Male,Yes,Basing gains and no gains for the ones i didn't know the results and the similar styles to the ones that i did know gains and no gains.,I went with what style i liked.,I based it on what paintings had gained on the first phase.,I made a guess based on the styles to the ones i did know results for.,Exp1
BxnWZ,27,Novice,3,Nope!,Right,4,Female,Yes,I used information from the previous auction as well as what I preferred.,I picked the ones I thought were the best/most interesting.,Any prior information I had and what I prefered. ,Whatever one I thought I preferred or would do best.,Exp1
BxrGU,28,Novice,0,"No, I did find them a little tedious though",Left,4,Male,Yes,Nope.,No,"No, I tried my best to just recall the decisions I had made in previous rounds","If I didn't choose the painting myself in the first round, I chose the opposite outcome",Exp1
CDy4a,28,Novice,0,No,Right,4,Female,Yes,No I just picked what I liked better in the moment,No it was more of a gut feeling,No,I picked what I liked better or if I remembered picking a  no gain piece against it,Exp1
CEo6A,33,Novice,1,No.,Right,4,Female,Yes,I just tried to remember what I saw earlier for my results and what I had picked vs what it was paired with in the first round.,I just went by gut feeling.,Not really.,I tried to remember what the outcome was if I had picked one of the paintings before.,Exp1
CIR6R,33,Novice,0,no,Right,4,Male,Yes,I tried to think of what I thought people would find expensive in my mind,"I chose based on which ones I liked best, not necessarily what would get the most profit",I tried to think of profits instead of what I liked best,I chose the ones that were familiar unless I liked the new one better,Exp1
CJ4S8,21,Novice,0,no,Right,4,Female,Yes,no,i picked the better looking ones,no,which one i liked better,Exp1
CMpJs,28,Novice,3,"No, everything made sense",Right,4,Other,Yes,"Not really, I just tried to pay attention to the style that sold as well as remember the paintings that sold vs didn't sell. I tried to emulate the response and pick out paintings that were similar to the ones that I earned money for. ","No, for some I picked the ones I liked better, others I picked ones I thought other people would like more. ","I'm not sure it was any different, just the same as the first. ","I just tried to make the best guess I could, using art style and the subject as a basis for those decisions ",Exp1
CRYbd,27,Enthusiast,1,No,Right,4,Female,Yes,Trying to use memorization skills. ,"No, just went on personal preferences. ",Not that I can recall. ,By trying to remember what paintings they were paired up with in the beginning that I know had monetary gain from the auction. ,Exp1
CkHtM,26,Enthusiast,1,No,Right,4,Male,Yes,No,I just chose what I liked,I chose what I liked again,I guessed,Exp1
CzDFV,26,Novice,2,Nope,Right,4,Female,Yes,I just picked the ones I thought were amazing and thats about it.,I did not. I just chose what I liked and thats about it.,I still liked the ones I liked thats about it.,I just decided based on what I had chosen before. I thought about it for similer paintings.,Exp1
D1NKi,23,Novice,less than 1,"The directions for the part where I had to guess if the second auction paintings had gain or no gain even if I selected them or not. The directions made it sound like I was only guessing the outcomes for the paintings I selected. Even when I read back through them to double check and then the third time when I missed the quiz question, I was unclear if it was both I was guessing on, or just the ones I selected. Also, in the actual task there was a slight delay when first starting because I incorrectly assumed we had to press the space bar again before deciding gain/no gain. So, I pressed the space bar and then nothing happened then it said to answer faster and I realized I just needed to hit up/down and then the scale would display. This was not mentioned in the directions, so really it was just my jumping to a conclusion rather than the directions were unclear. However, this does make me question why it was necessary to use the space bar in the first auction for gain/no gain, but not in the second auction?",Right,4,Female,Yes,"I noticed in the initial outcomes part there seemed to be a lot of brighter colored paintings that were making gains and more muted colors were losses. So, I tried to strategize by choosing more paintings with vibrant colors.","Not really, I just tried to base it off of which painting I personally liked more.","In the decisions phase of the second auction I tried to pick the ones that had gains from the first obviously, but for pairs that were new I went with how I felt.","I just went with what I would prefer, how I felt about both paintings.",Exp1
D5Gvd,26,Novice,0,nope,Right,4,Male,Yes,No not really ,nope,nope just texture or quality,Just by the texture ,Exp1
DmpGI,33,Novice,2,No,Right,4,Male,Yes,I remembered the ones that sold in the earlier phases and tried to choose those.,Just thinking of what would probably sell well.,Trying to remember what sold.,I chose paintings similar to ones that did sell.,Exp1
DqtDo,31,Novice,0,,Left,4,Male,Yes,"I tried to stick with the same decisions I had made in practice rounds.  I assumed that I was asked for my reasons at random, so I had no information that I didn't have in practice rounds.","I tried to remember what I learned about art in high school, and I made decisions based on that.  I looked for paintings with good form, color value, and composition.",I tried to remember the results of the previous auction and make the choices that would have been profitable there.,"I tried to remember which painting they were paired with.  I assumed each pair had one painting that made money and one that did not, so a painting paired with something that did not make money probably would make money and vice versa.",Exp1
EOSAa,23,Novice,0,Not really,Right,4,Female,Yes,No,I mostly chose which one I liked better,No,I just guessed,Exp1
EREcK,32,Novice,0,No!,Left,4,Male,Yes,I don't believe any strategies were implemented on my part.,I just choose paintings that were liked by me.,I chose the same strategy as the first phase.,I tried to see if one of the paintings was more likely to sell.,Exp1
EaSUf,31,Novice,1,Nope,Right,4,Female,Yes,I was using the results I received in the 1st phase as a baseline for paintings that would sell for higher. ,"I thought ones that didnt look creepy would sell higher, as well as paintings that had more color and just more going on. ",Just a continuation of the first.,Based on how similar they were to ones that I has seen outcomes to.,Exp1
EhKy0,31,Artist,8,no,Right,4,Female,Yes,no,ones that i thought would do well,no,which ones i thought would do well,Exp1
EqBzt,33,Enthusiast,1,,Right,4,Female,Yes,No I did not,No I did not,I compared to previous types of art and which had made a profit,I looked at the paintings and tried to remember what other art did good at the auction and their styles. I tried to guess based on the styles. ,Exp1
FSrdi,27,Novice,1,no,Right,4,Female,Yes,i just did my best but did not havea stragety,which caught my eye first,which caught my eye first,based on the best of my ability to remember,Exp1
FYIj5,35,Novice,1,no,Right,4,Female,Yes,Not really,not really there was too many to remember,not really too many to remember,"based on how they looked, how clean it was",Exp1
FZLzn,26,Artist,2,no,Right,4,Female,Yes,"yes tried to see witch one was more authentic but beauty , see if it told a story . Brush work. details and colors. ",Colors and unique ,"color and unique , story ",based  on if the other pictures it was paired with gained or didnt gain. ,Exp1
FZkQM,35,Enthusiast,5,No.,Left,4,Female,Yes,I just went with my instinct!,"No, I went with my instinct.","No, I went with my instinct.","Again, I just went with my instinct!",Exp1
FbsuF,24,Enthusiast,4,,Right,4,Female,Yes,"I tried choosing the ones that were the most similar to the paintings that gave me gains in the beginning - I did accidentally choose no gain for a photo I'm positive had a gain, though (marked it completely unsure)","No, I just used my own opinions",I tried choosing those that resembled the ones that got gains in the first,Same as what I said - I chose the ones that seemed the most similar to those that had gains the first time around,Exp1
FbxWp,26,Novice,0,None,Right,4,Male,Yes,I did not. I just used memory.,I just used what I felt inside.,I just tried to remember.,I just used my gut.,Exp1
FnDK4,24,Enthusiast,5,nothing,Right,4,Male,Yes,I did not use any strategy for the final phase,no i did not use any particular strategy for this section,no i did not use a strategy,I chose which ones looked similar to ones that saw a gain or loss in the original auction and made my decision based on this,Exp1
FoB8M,21,Novice,0,Everything was clear.,Right,4,Female,Yes,I tried to think of the details that made up the paintings that had been sold earlier and see if there were any similarities to those of the final phase.,"For the first auction, I just went with my personal taste and interest in the paintings shown.",I just compared them.,I tried to find a pattern of things like how much detail the subject had or how realistic it was.,Exp1
G0KMe,34,Novice,5,Everything was very clear.,Right,4,Male,Yes,Not at all.,Not at all.,Not at all.,Just what I thought was the best.,Exp1
GC1FW,23,Novice,5,NO,Right,4,Female,Yes,Not really just tried to recall which paintings had green boxes indicating gain,No,NO,Which one I liked more,Exp1
GCq3m,34,Enthusiast,1,No.,Right,4,Female,Yes,I tried to imagine what someone would want and buy.,I looked to see which pictures looked more appealing.,I chose pictures that I thought someone would buy.,I looked for the more appealing paintings.,Exp1
GDXdr,25,Novice,0,No.,Left,4,Male,Yes,I just used my intuition and the previous paintings that I knew had a gain.,I just used a combination of my intuition of what I think would be more expensive and what I personally liked more.,I used the same paintings that I knew had gain and avoided the ones that were no gain.,I just used my intuition and which one I personally liked more.,Exp1
GStvD,32,Novice,0,no,Right,4,Female,Yes,"No, I just went with my memory and gut.","I just went with the painting I liked the most based on being complex, simple, colors and textures.",I went with which I think would sell the most. ,I went with my gut feeling,Exp1
GZBpC,27,Novice,10,,Right,4,Female,Yes,,,,,Exp1
GkoqR,24,Enthusiast,2,No,Right,4,Female,Yes,I tried to choose both what I preferred and what an art expert might enjoy.,Just what I thought was most technically advanced and pleasing to the eye,Same as before,I just tried to use other similar paintings and their outcomes as a way to guess.,Exp1
HAZhR,33,Novice,1,"No, but the last set of instructions did not show up the first time I went through.",Right,4,Female,Yes,"I tried to remember from the previous block, which ones were gains, but I couldn't. Also, I was very anxious and pressed buttons on accident a few times. ","I tried, but apparently, I am not an art person.",Tried remembering which one was a gain from the previous one.,I just went with whichever my gut felt was the right one. ,Exp1
HAvkp,29,Novice,1,"No, instructions were nice and clear.",Left,4,Male,Yes,I tried to remember which paintings were ones I know sold before and made educated guesses off the others that weren't shown. ,It was mainly based on what I thought of the painting personally.,I made my decisions based on decisions I made during the first round.,"If I knew a painting sold well, I used this information to mark the second painting as one that didn't sell. I used this throughout all the rounds and made the best educated guess I could.",Exp1
HDz8l,31,Novice,4,No,Right,4,Male,Yes,No,No,No,I just went with I saw before.,Exp1
HSqqB,30,Enthusiast,1,"No, everything was clear. ",Right,4,Male,Yes,I tried to pick the painting that people might say is \the one with the _____\ for instance \the one with the cup\ or \the one with the book.\,I trusted that my sense of taste would translate well to a general audience and focused on paintings that someone might stop and have a conversation about. ,I tried to get a sense of what paintings were popular from the first auction and why. ,"If the painting did not return a profit, I selected the other one. If it did, I chose the one that I chose the first time. ",Exp1
HUU11,33,Novice,1,no,Right,4,Male,Yes,I just tried my best.,I just chose what i liked best.,I just chose what i liked best.,I just tried my best.,Exp1
HgayM,21,Novice,0,Nothing was unclear.,Right,4,Female,Yes,I didn't really have a strategy because art is very subjective. Anything could be art to anyone.,I tried to think about what artistic people would choose.,I tried to choose what I thought artistic people would choose.,I tried to remember if they were paired up with ones I saw before and tried to remember if they were paired with ones that gained or didn't gain.,Exp1
HtIET,31,Novice,1,no,Right,4,Female,Yes,I did not use any type of strategy.,I went with what was more appealing to me.,I again went with what was more appealing to me.,I went with my gut reaction.,Exp1
IOb2r,21,Novice,1,I understood it,Right,4,Female,Yes,No i did not use any strategy,I did not use any particular strategy,"No, I did not use any sort of strategy",I was confused when this occurred so I said they were recombined,Exp1
IvQ2m,33,Novice,0,no,Right,4,Male,Yes,no,just what i liked most ,no just went with it,i just went with my gut how they made me feel,Exp1
IyKDo,33,Novice,1,yes,Right,4,Female,Yes,no,no,no,best guessing,Exp1
IzU0D,23,Novice,2,no,Right,4,Female,Yes,I tried to dig deep in my memory but it was very difficult,I picked which I thought was more traditionally beautiful,I used the same strategy,I just made a guess based upon prior portraits and their similarities.,Exp1
J0kIP,28,Novice,0,None,Right,4,Male,Yes,"Nope, just picking which painting I liked the most",No strategy,"Same as before, no strategy",Still chose which one I liked the most,Exp1
JIK6z,22,Novice,2,"No, everything was very clear and understandable.",Right,4,Female,Yes,I just picked whichever one I liked the most.,"I didn't really use any type of strategy, I just went with my likes and dislikes.","No, I didn't use any strategy.",I chose whichever one I liked more and hoped that was what I chose the first time.,Exp1
JJKmU,27,Novice,0,no,Right,4,Female,Yes,No I just tried to remember all the information I had seen,no I just picked the picture I preferred ,no I used the same strategy - just picking pictures I liked,"if I could remember what that painting was paired with and whether the paired painting went up or down, I chose the opposite for the painting whose outcome I did not see",Exp1
JSPH5,29,Enthusiast,1,"No, everything made perfect sense.",Right,4,Female,Yes,"I tried to focus solely on paintings that did have a profit, but it was hard because some didn't align with the ones I found to be my favorite.",I just went with gut instinct and personal preference.,I just really relied on my gut decision.,I chose based on which was my favorite.,Exp1
JSu11,35,Artist,1,,Right,4,Female,Yes,If I knew one of the paintings had no gain then I picked the other one.,I picked what I thought people would like more.,I picked what I thought would sell better.,I just guessed.,Exp1
JY6WO,23,Novice,1/2,no,Right,4,Male,Yes,I just chose the ones that I could not draw.,I just chose the one I liked better.,I just chose the one I liked better.,I just remembered what the other pair was and thought if that one was gain or loss and chose the opposite.,Exp1
JaNZv,20,Enthusiast,5,N/A,Right,4,Male,Yes,"I did not, just memory",I did not,,I had to guess because I never saw before,Exp1
