PID,age,art_experience,art_time_spent,clear_instructions,dominant_hand,fluency,gender,native_language,strategy_FD,strategy_deliberation,strategy_interference,strategy_unchosen,Exp
9QlFJ,27,Novice,0,Nope! ,Left,4,Female,Yes,I didn't really have any kind of strategy to be honest. ,Only what I thought was best.,No,I took my best guess. ,Pilot
A26v1,29,Enthusiast,2,The last phase instructions.,Right,4,Male,Yes,I chose what I liked best.,What I liked and what resonated with me.,nope,I went by my art judgement because for most of the ones I picked they actually sold.,Pilot
AbYLE,28,Novice,1,No.,Right,4,Male,Yes,"I chose abstract, unusual paintings.",I chose the paintings I liked more.,I again chose the paintings i liked. ,Which appealed to me.,Pilot
Aw0dY,27,Artist,2,I found the instructions to be reasonably clear.,Left,4,Male,Yes,I tried to focus on the most profitable paintings and from there I tried to focus on similar qualities of those paintings.,I selected paintings based on my own personal aesthetic preferences.,I tried to recall my decisions from the first auction.,I tried to make an educated guess with these decisions. For these pairs I tried to seek out the painting that seemed most similar to the profitable paintings.,Pilot
BAWYi,27,Enthusiast,10,It was clear.,Left,4,Female,Yes,"No real strategy, I just attempted to remember if the pairs were together or not.",I tried to decide based on what I thought other people would pay for such paintings.,I used the same strategy as the first auction.,"I decided to go with instinct to what painting I would prefer, except I only had 2.5 seconds and missed a couple trying to make that decision.",Pilot
BBjWx,32,Novice,1,no,Right,4,Male,Yes,"Not really, just went with my gut.","I didn't, I went with my gut.","I didn't, I went with mygut.",I went with my gut feeling.,Pilot
BGa6g,34,Novice,1,"No, everything was straightforward and easy to understand.",Right,4,Male,Yes,I just went with the paintings I liked the most and thought would make the most money. Information about how the paintings sold was helpful in choosing which paintings to value and select.,"Not really, I simply chose the painting I liked the most and thought was the most well done. I figured it'd be the more popular/valuable one.",I selected the paintings I liked the most and the ones I thought had the highest chance of selling for good money. I tried to determine demand and value by how much I liked them. I also tried to think about how much the general population would like them as well.,I just went with the paintings I thought would be the most valuable based on how similar paintings sold. I also based my decisions on intuition and preference. I selected paintings I thought looked more valuable and that appealed more to my senses.,Pilot
BqKir,36,Novice,0,no.,Right,4,Male,Yes,I compared the paintings and used my judgement to determine which one I liked better as fast as I could.,I chose the paintings I liked the most based on my personal preferences.,"Again, I used my own personal preferences to pick which one I liked.",I chose the ones that I believed would be most likely to sell at auction.,Pilot
CpOiB,27,Enthusiast,3,,Right,4,Male,Yes,"No,I used my gut feeling mostly","No, whatever looked goof or whatever I thought would look good in my home is what I picked.",No not really,I base that on how I felt about the painting at what was appealing to me ,Pilot
DdNXJ,33,Artist,15,No they were not.,Right,4,Female,Yes,I did not.,I did not.,I did not.,Based on what I remembered the decision to be from the paintings that did have the auction outcomes shown.,Pilot
DnlJ4,34,Novice,1,"No, everything was clear to me.",Right,4,Male,Yes,"No, I just went with my gut of what I had seen and not.","No, I just picked which ones that I liked the most again.",No I didn't use a specific strategy.,I picked the one that I personally liked the most.,Pilot
EaTNE,32,Enthusiast,1,Nothing.,Right,4,Female,Yes,Mostly just picked out the art that I had already picked before and then different ones for the paintings that didnt do as well at auction.,None other than my own personal preferences.,Just my personal preferences.,I picked the ones that I remembered made money and the ones that matched those.,Pilot
Ei7xa,24,Novice,3,No,Right,4,Female,Yes,I looked at what I thought would appeal to a persons eye more and answered based off of that.,I went based off of the paintings I personally liked.,I considered what others may like along with what I liked.,I went based off of what I felt was more valuable.,Pilot
G5p1X,30,Novice,4,no,Right,4,Female,Yes,not really ,not really,not really,whicheverone i liked to look at,Pilot
Gbue9,23,Enthusiast,2,No,Right,4,Male,Yes,Yes picked the ones where I rememered had value,Ones that looked like people would buy,Same as the first where I looked for paintings people would like,Try to go off memory,Pilot
H8AQv,31,Novice,1,All of the instructions were very clear and I was not confused.,Right,4,Female,Yes,I did not use any strategy.,"No, I only choose the paintings I enjoyed looking at.",No,I choose the paintings that I thought would make the most money based on how unique they were and if they were very stylish.,Pilot
HcQh2,33,Artist,2,Everything was clear,Right,3,Female,Yes,Just follow the  instruction,I compared the two paintings,I still compared the paintings,i compared the two,Pilot
HmWNL,30,Novice,0,no,Left,4,Female,Yes,just trying to remember what I saw. knowing what they went for in auction kind of helped.,"mostly colors, style or I guess \softness\",,I stuck with whatever was shown first and what I liked second,Pilot
HsKFo,33,Novice,0,no everything was easy to understand and apply. just really long survey with a lot of writing. ,Right,4,Female,Yes,"I tried to focused on the amount of details, emotions being conveyed, and the amount of elements in the painting. color scheme",I stuck to the paintings that had the highest value an avoided the paintings that garner 0 and to painting that were similar as well. ,"I dont think I did, went along with what I liked and comparing it to the outcome of the auction. ","I went with what I liked the most, while still comparing and deciding if the outcome of the auction will gear towards a similar outcome.",Pilot
IXVqT,29,Novice,2,Nothing was unclear in the instructions.,Right,4,Female,Yes,"I did not have a very concrete strategy, and I mainly went with whichever painting caught my attention the most and that I would truly want to possess.",I primarily went with my personal taste and sense of which painting had more meaning and was of higher quality.,"In this phase, I mostly used the same strategy of going by my personal tastes and intuitions with respect to which painting was more intricate and of higher quality. I also looked at which painting elicited a stronger emotional response from myself.","For these pairs, I mainly stuck with my intuition and chose the painting that I felt most people would agree was more pleasant and comfortable to look at.",Pilot
Icmeh,35,Novice,0,nope,Right,4,Female,Yes,Not really.,No,no,I just guessed.,Pilot
InbSs,27,Novice,5,No,Right,4,Female,Yes,"Yes, I tried to remember the ones that were a gain and that had the higher dollar amount.","I tried to choose what I thought would make the most money, so paintings that most people would likely enjoy more than the other",Same as the first,I tried to determine if they matched the tones of the paintings that had made money.,Pilot
KTnWn,31,Novice,2,no,Left,4,Female,Yes,"I followed what I felt I really liked in the first round, and in the second round, I followed the decisions that I made money off of for most of my selections. I struggled with the memory round",no,"Yes, I tried to remember which ones made me more money, ones i didn't see i choose based on my liking of them",I choose the ones that I personally liked,Pilot
KgIF7,33,Novice,0,Nothing that I can think of,Right,4,Female,Yes,I didn't use a strategy.,I didn't really use a strategy.,I did not,I just went with the one I felt would be the most likely to be chosen.,Pilot
Kmecz,31,Novice,1,I found the instructions to be clear and straightforward.,Right,4,Male,Yes,I didn't use any particular type of strategy.,I didn't use any type of strategy at the beginning of the study.,I didn't use any type of strategy for the decisions phase of the second auction.,I decided to choose the one that made me feel more.,Pilot
LQjTG,30,Novice,1,No,Right,4,Female,Yes,"Yes; I chose paintings that either profited before, or looked similar to paintings that had profited before (i.e., when in doubt, choose not-too-weird-looking paintings of pretty white ladies who aren't doing anything interesting)","When all else was equal, I favored paintings that \pulled me in\ over paintings that didn't but were still very aesthetically pleasing","Similarity to paintings that succeeded in the first auction, suppressing my annoyance that people didn't appreciate certain paintings the way I did","See previous response--I chose paintings that most closely matched the aesthetic/content of the paintings that had profited, or decided against paintings that looked like ones I know didn't profit",Pilot
M3EtM,34,Novice,2,I feel everything was clear.,Right,4,Female,Yes,"I tried to select paintings that were shown as gaining value in the auction, though some of the pairs I hadn't been given information for either and in that case I just chose whichever I thought looked beter.",I chose whichever looked better.,I just chose whichever paining I liked best.,I chose whichever painting I liked more.,Pilot
MajL5,32,Novice,0,No.,Right,4,Female,Yes,No.,"I did try to choose the beautiful women and more diverse paintings, because I thought they would be more popular.",No.,"I chose them at recombined, because I had not seen the combination before.",Pilot
N4LjX,29,Novice,0,Nothing was unclear.,Right,4,Male,Yes,I had no particular strategy other than my gut instinct.,I had no particular strategy other than my own initial feeling about the paintings.,I just used my own initial instinct.,I used my natural instinct to decide which one I liked more of the two.,Pilot
OH30k,27,Novice,0,no,Right,4,Male,Yes,No,yes - whichever one i liked more,yes - the exact same strategy as the first round,i just went with the one that i liked more - i dont know shit about fuck about art,Pilot
OxAiv,30,Novice,0,No,Right,4,Female,Yes,I tried to remember which ones I'd seen with a profit.,"No, I just picked the ones I liked.","No, still just the ones I liked.","If it was combined with one I did know the outcome of, I went based on that. If it was paired with one I didn't know the outcome of, I guessed.",Pilot
OxXnd,28,Novice,2,no,Right,4,Male,Yes,I tried to remember the paintings with higher values.,I did not,no,Highest value,Pilot
P6rk9,27,Novice,0,No.,Right,4,Female,Yes,"No, just memory.",No,No. Just tried to remember which ones I liked and absolutely did not like.,The one I liked more and think I remember choosing.,Pilot
Qk28u,29,Enthusiast,1,,Right,4,Male,Yes,,,,,Pilot
QqVXN,34,Enthusiast,2,no,Right,4,Female,Yes,chose more vibrant and interesting pieces,i chose what i liked personally,i tried to choose moreso what is popular,matched what worked like bright colors and interesting concepts,Pilot
Qy4aw,23,Enthusiast,2,nothing,Right,4,Female,Yes,just what painting i liked more,which one looked more expensive ,which one i remembered from the first,which one caught my attention more,Pilot
R81mC,35,Novice,2,NO,Right,4,Male,Yes,NO,NO,NO,BASED ON WHICH ONES MADE GAINS DURING AUCTION PHASE.,Pilot
RMj9m,30,Novice,1,no,Right,4,Female,Yes,Trying to maximize profits,Which one I thought most people would like the best,Which one would sell the fastest,which one I thought would be most popular/valuable,Pilot
RZGM7,27,Novice,4,"Not at all, everything was pretty easily understandable.",Right,4,Male,Yes,No specific strategy except picking my overall favorite pieces out of each two pairings given.,No strategy just mainly first instinct.,"Same as the first phase, just went off what felt right to me.",I didn't focus as much on the auction outcomes as much as my overall preference of the paintings. I chose what I preferred to be better.,Pilot
U7lEr,29,Novice,1,no,Right,4,Female,Yes,Tried to remember which ones were profitable,no,no,Based on ones they had been paired with and what those outcomes were,Pilot
UD5TN,35,Artist,5,No everything was clear.,Right,4,Female,Yes,"I honestly just went with with my personal tastes, though the pieces chosen all displayed talent. ",My personal taste,same as the first.,I went with my personal preference or I used the ones I had already seen selected as benchmarks to compare. ,Pilot
UjHp1,29,Enthusiast,2,No.,Right,4,Female,Yes,"I chose paintings that I was told had made money from the first auction. If neither choice fit that criteria, I picked the one I liked most.",Not really; I simply chose my favorites.,I largely made the same choices as in the first auction.,I chose the ones I liked the most.,Pilot
UpFzP,34,Novice,0,NO,Right,4,Male,Yes,"I just kept pushing the down button to get this shit over with. I was doing it correctly at first, then you had me do the same thing over and over and over again, which I thought was crazy.\n\nI felt this was underpaid for sure. 3.50 for 50 minutes with a POSSIBLE bonus. Slave labor. As I said, I did the work correctly at first, then I said fuck this shit.","No, I did what I liked at first.",No,"I didn't. I rushed through as fast as possible. I need this to pay rent, so I can't be wasting my time. I'm only writing in hopes that you pay correctly next time. Less than minimum wage per hour is unacceptable considering the amount of money Columbia University gets per student.",Pilot
VP3Tz,35,Novice,1,None,Right,4,Male,Yes,I tried to go with the paintings I thought the general audience would like more than my own tastes.,I just went with my initial feelings about the painting.,I used the same strategy as before.,I just used the same strategy of going with the one I thought would be the most accepted.,Pilot
Vcm96,24,Novice,1,No,Right,4,Male,Yes,"I tried to remember which paintings no-gain paintings were paired with, and I assumed the other was a good painting. ",I chose which looked best to me. ,I chose the paintings that looked the best. ,I used my intuition and tried to relate to how the other valuable paintings looked. ,Pilot
VqFTy,30,Novice,2,"Nope, everything was clear.",Right,4,Male,Yes,I just went with what I enjoyed looking at the most.,"None, I only selected the painting I enjoyed looking at the most.","Once again, I selected the paintings I enjoyed looking at the most.",I went with the one I thought was the valuable one based on known outcomes.,Pilot
WTzXz,34,Enthusiast,2,Nope.,Right,4,Female,Yes,I tried to picked the ones I knew had gains and avoid ones I knew had 0 gain. Though I didn't really know for all of them if they had gain or not. So some of it was just guessing and/or trying to spread out my picks in the hopes of not hitting the 0 gains too often.,Not really. I just picked the ones I liked better and/or thought were nicer paintings.,Not really. Just the same strategy as the first auction.,Sometimes I would just randomly pick one. Other times I tried to pick one if I haven't picked it before.,Pilot
XTkW7,32,Artist,15,No,Right,4,Female,Yes,No,No,No,Instinct which were the ones I liked.,Pilot
Yw81I,26,Novice,1,No,Right,4,Female,Yes,Tried to remember if the previously seen images made a profit.,Gut instinct of what I liked better.,Same as before.,Based on what I liked better.,Pilot
ZWFM6,29,Novice,0,No,Right,4,Male,Yes,No,No,I tried to remember the gain or no gain paintings and I tried to go opposite on no gain paintings.,I just picked opposite if I remember that one of the paintings had no gain. ,Pilot
ZYPTd,28,Novice,1,No,Right,4,Female,Yes,,just according to society attitudes. I know that a woman and man together would not be profitable because of the way woman don't want to be seen as dependent ,"Same strategy as the first, based on what is popular in societal attitudes. ",I just tried to remember which ones had a gain and picked the paintings that I already would know the outcome for.,Pilot
ZgOut,30,Novice,0.25,No,Right,4,Male,Yes,Went with my gut,Which I thought looked better,Which I thought looked better,"Gut feeling for those ones (compared to ones I saw auction outcomes, for which I used my memory)",Pilot
aLRo1,28,Novice,8,"No, everything was grand!",Right,4,Male,Yes,"In the auction phase, I was trying to think of what people around me who have purchased art might like, but in the portfolio phase, I was feeling very pressed for time! My reflexes are not the speediest! So, for that one I was trying to select the ones I knew had a green frame around them from the previous section, but there were a few times that my intuition slipped and I clicked like \oooh that one pretty\ before my brain caught up to itself and I was like \dang it, that one MAKE NO MONEY.\ Really, great art all around here though, I think the one of the lady in the garden(?) is my fave, I pressed print screen while that one was up so I can go reverse image search for it later.","Yes, lol I feel very silly for typing so much in the first box! My strategy was to imagine myself as some of the people I know who have purchased art","Yes, same strategies",I tried to work off of the information I knew for sure,Pilot
aXkHM,31,Novice,2,no,Right,4,Male,Yes,How old the painting looked. How much appeal it would have to a wide audience. If the art was done well.,I went with what i could remeber the prices were,I went with what i remembered from prices,I put them lower since i had no idea out their outcome.,Pilot
aZ29V,35,Novice,1,No,Right,4,Female,Yes,Just muscle memory.,No,No,I just picked my favorites,Pilot
aarWX,35,Novice,2,No,Right,3,Male,Yes,Just try to remember and match the most attractive ones to me as if I wanted to buy a painting.,"No strategy. At first, I only considered seeing myself as a potential buyer.",Try to match them according to the similarities of the first auction.,I decided according to the ones I liked the most and considered the type of paint according to previous similar ones.,Pilot
arjeO,29,Novice,0,No.,Right,4,Female,Yes,No.,I just choose the ones I liked the most.,No.,I tried to remember which one had gains or not.,Pilot
azmih,25,Enthusiast,3,"No. All instructions were clear, precise, and readable.",Right,4,Male,Yes,No. I did not any type of strategy. Just used my brain.,No. I do not think that I did use any type of strategy then.,No. I did not use any strategy then.,I chose those that I knew were already going to make money and went with that most of the time.,Pilot
bwpRZ,29,Enthusiast,2,none,Right,4,Female,Yes,I just tried to pick the ones that I remembered,I just picked ones I liked and that I thought others would like,Just tried to pick the ones that I personally appreciated,I went off which one I personally preferred,Pilot
c4z0I,28,Enthusiast,2,"Nope, everything seemed clear",Left,4,Male,Yes,"I tried to remmber all the paintings I'd seen, and exactly which one I chose","The way the paintings looked, the pose, the character, and how old the painting looked",I used some of the knowledge of what made money based on the first set,"If I dont recollect them together, or remember comparing them, I would choose that I had't seen them together before",Pilot
c6NwG,29,Novice,1,No,Right,4,Male,Yes,"Whatever painting that I was passionate about and saw red, I chose the opposite one.",Whatever my gut went for.,No,"If It was the ones from the previous phase, I would choose it if it was valuable. If not or they were both new, I would go with my gut.",Pilot
cqMpS,35,Enthusiast,1,Nope.,Right,4,Male,Yes,I tried to used the revealed amounts to determine what the other painting were worth by considering that there always had to be a correct answer. However I forgot what some of the paintings were paired with so I kind of just had to guess on the ones I didn't know.,Not really. I picked the ones I thought were more renowned and demonstrated more dramatic elements but that's subjective.  ,The same as the first. I picked the ones I thought might have more value based on the style and dramatic elements. ,I tried to remember what they were paired with and what the value of that painting was and thereafter choose the inverse for the unknown painting.,Pilot
cwPeu,30,Novice,0,No,Right,4,Female,Yes,"Not really. Honestly, at this point I was bored and just ready to get this over with.",I chose which one I liked.,I tried to remember which ones were worth more.,I chose which one I liked.,Pilot
d1IcC,31,Novice,3,No.,Right,4,Male,Yes,I chose the paintings that I knew netted a profit during the auction.,"Artwork with discernable backgrounds, with women, with vivid or vibrant colors were picked.",Same as before.,I picked at random if I didn't recall their successes.,Pilot
dkD9m,34,Novice,1,No. ,Right,4,Female,Yes,No,NO.,No. ,I just chose what I remembered by what appealed to me. ,Pilot
dmSgh,26,Enthusiast,1,no,Right,4,Female,Yes,NO,no,no,Memory,Pilot
eK6VV,31,Novice,0,No,Right,4,Female,Yes,I chose the ones that showed more detail.,I chose the ones that showed more detail.,I chose the ones that had a gain.,I chose the ones that showed more detail.,Pilot
eQNCP,28,Novice,0,No,Right,4,Male,Yes,I used the strategy of asking myself the question: \Would I buy it?\,I just try to pick which looked the best to me.,I picked which looked the best to me.,By picking how similar they are to the paintings that gained.,Pilot
eoRdQ,31,Novice,1,No,Right,4,Male,Yes,"No real strategy, just tried to recall the paintings I selected that I knew were valuable and recall the paintings I didn't select in lieu of another that turned out to not be valuable.","No real strategy, just gut feeling on what would be considered valuable or not.","Same as first, gut feeling.","If the one painting in the pair I remembered having value, than I would select that one.  If the painting in the pair didn't have value, than I would select the one I didn't see the auction outcome for.",Pilot
fBfmV,30,Novice,0,There was not.,Right,4,Female,Yes,"If you mean the section where I was supposed to pick a portfolio of high-value paintings, then I tried to pick the ones I remembered as being shown to have generated a profit in the results I was shown.",No.,No.,"Mostly randomly, or by personal inclination. A few times I know I picked against the ones I'd known didn't turn a profit, in the hopes the other one might have.",Pilot
g9Ces,20,Enthusiast,2,,Right,4,Female,Yes,,,,,Pilot
h3ty7,27,Novice,1,,Right,4,Female,Yes,I was just choosing the pieces that gave me a positive feeling. ,"Which artworks had a nice feeling~ something positive, calming etc. ",,Which one sold and which one did not. ,Pilot
hLlKp,26,Novice,1,No,Right,4,Male,Yes,I tried to recall which paintings had no gain and made sure to choose the opposite,I normally picked the one that I thought would be worth more,I made sure to choose the opposite whenever encountering an artwork that had no gain,I just chose whichever one I preferred,Pilot
iBuis,31,Enthusiast,4,Everything was very clear and the quiz right after the instructions were extremely helpful and added Accountability. The fact that you gave me a second try when I missed one or two in the beginning was well done. It's like in the Real World. We all get second chances.,Right,4,Male,Yes,"I tried to remember which paintings made a profit and tried to learn what made those paintings give a profit. In other words, was there a common thread to the paintings that made a profit.",I went with what I like first and foremost and then tried to think about what the buyer would want to convey by putting the painting in their house or office.,Tried to apply what I had learned in the previous phases as far profits,"I based it on the ones that had made a profit during the auction sale. In other words, looked for similar ones that had made a profit. Lighting, theme, colors, etc.",Pilot
iisGS,26,Enthusiast,3,This was quite fun. Thank you. I had no issues.,Left,4,Male,Yes,Pick the most valuable paintings and if the result I got ended in net profit I took the chance and added that painting hoping it be worth more.,I chose the most vivid and abstract ones. Paintings with a lot of color and weird elements added to them.,This part was challenging to me. I tried to remember what auctioned well and stick with that theme while also keeping to my own accords.,I stuck with my instinct mostly. I love to be my own person and so if I felt the art was more worthy of being chosen I definitely suck with regardless of the outcome.,Pilot
k3zzQ,31,Novice,0,No,Left,4,Male,Yes,Nothing specific,"I did not chose portraits, and looked for background action and ambiance. ",Nothing specific,If they were visually appealing ,Pilot
k9qrt,31,Novice,1,no,Right,4,Male,Yes,I don't think so.,"Not really, it was just personal preference.",I don't remember.,"If I remembered a painting next to one of the ones I selected that had $0 earnings, I chose that one sometimes and the other options the other times. Or obviously I chose the ones that had the earnings if they were an option.",Pilot
kHke7,27,Enthusiast,0.5,"No, thank you.",Right,4,Male,Yes,"I described the higher-valued painting out loud, so I would remember it. ",I simply chose which painting I found to be most appealing.,"I tried to remember the high value paintings and chose those. If I didn't recall the value, I would choose which painting I liked the best.",I chose the one I found to be most beautiful.,Pilot
kYxEv,34,Enthusiast,1,not really,Right,4,Female,Yes,"i sometimes tried to think if the paintings had looked like anyone famous... as in - had i seen this type or style before? also, i looked at how emotive the eyes are, if that makes sense?","i thought it might have been a study on depicting people of color in paintings, so i kind of went with that train of thought until i realized that did not matter",tried to remember what made a gain and what didnt,i tried to make some kind of inference of what was selected to have a gain during the auction. i also kind of assumed my instinct was wrong so i went with the OTHER choice i thought to be correct,Pilot
l2ASo,34,Novice,0,No,Right,4,Male,Yes,I tried to use my knowledge of ones that I knew were worth something to derive that the one it was paired against was not and vice versa. ,What item I thought most people would like more.,Same as the first,I tried to figure out if they were good or bad based on when they were paired with ones where I knew the outcomes.,Pilot
lH7WI,33,Enthusiast,10,There was nothing in the instructions that I found unclear. ,Right,4,Male,Yes,I did my best to remember which pictures sold well at auction. I thought about the characteristics of the pieces that didn't sell well. I concluded that people didn't like pictures of people who seemed to be depressed or brooding. They seemed to want to purchase pictures with brighter colors and happier people. I focused on selecting those types of pictures. ,I really relied on intuition more than anything else in the beginning of the study. I just chose which paintings seemed to speak to my soul and moved me. I thought that my personal preference for complex and troubled characters would be shared the art buyers. I just tried to appreciate the most complex paintings that I saw. ,I tried to find a happy medium between my personal preference and what the art buyers liked. I chose to lean about 80% into what the art buyers wanted and keep 20% of my selections to what I liked. That means most of the paintings I picked were brighter and had very unique themes. A smaller portion were darker and more intimate. ,I decided to stick to the paintings that I had been show previously. I wanted to be loyal to the paintings that I was familiar with. I thought I had a better chance of receiving a higher monetary value for the painting if I was familiar with how it was judged already. I didn't want to chance the unknown. ,Pilot
lPMys,28,Novice,0,no they were generally clear,Right,4,Male,Yes,no i just went with my initial impressions,i picked the ones that i liked,i picked the ones that i liked,i went with my initial impressions,Pilot
mJLQE,30,Novice,0,no,Right,4,Female,Yes,I used color schemes and the details in the art.,color schemes and art details,Yes. Choose the painting that got me a gain.,If the color had duller colors than the other painting. ,Pilot
mRuyP,32,Novice,3,Nothing,Right,4,Male,Yes,None,None,None,Just went with my gut instinct,Pilot
nZSIf,22,Artist,10,No the instructions was clear.,Right,4,Male,Yes,No I didn't use a strategy. I just went what look better to me.,No I didn't use a startegy.,No I didn't use a strategy. I picked on what I like based on looks and value.,I decided by looking at both of the paintings and choosing if this was the one I've seen throughout the auction.,Pilot
nlS1H,23,Novice,0,Nope,Right,4,Female,Yes,"I chose the ones that showed a gain previously, ones that did not appear I just chose what I preferred","I did not, just picked what I preferred",I did not,I chose which one I personally liked,Pilot
o55bL,31,Novice,1,No,Right,4,Female,Yes,Just recollecting the items and thought about the most eye catching ones.,No,No,I think I thought about the most appealing parts of those paintings.,Pilot
pEtlX,33,Novice,1,no,Right,4,Male,Yes,I didn't have a strategy,I picked the one that I thought looked best,I tried to stick with my original thought,I just picked one hoping it had a gain.,Pilot
pLJib,24,Novice,0,"No, there were no instructions that were unclear.",Right,4,Female,Yes,I used my own brain memory to the best of my ability by how these painting are associated in the first part. Since there were multiple parts it gives you chance to remember some.,"I did not. I choose simply based on my instruction and what I thought was a \good\ painting, in my own point of view.",I choose my answers based on what was given to me already to make my choices as I go through the study.,I choose to the best of my knowledge which choicer ere an obvious go and which one would need to be based of my own opinion and guts. That's how I decided to choose the painting pair.,Pilot
pPPq6,29,Enthusiast,1,N/A,Right,4,Female,Yes,remembering which paintings made money from the previous phase,I chose the paintings that I thought would sell the best,I chose the paintings that I thought would sell the best,the ones that I liked best,Pilot
pjqfS,24,Novice,1,"No, everything was very clear to understand. Thank you.",Right,4,Female,Yes,"I tried to remember which of the paintings I previously saw that returned a gain and selected those, even if I didn't necessarily like them. And on paintings I didn't know that returned a gain or not, I selected it if I remembered it being paired with a painting that didn't return a gain, or if that wasn't the case, I selected the painting that I liked the most.","I chose the paintings that were most visually pleasing to me in this phase, though I did try to recall some of the principles I learned in previous art classes that could have contributed to the value of the painting.",I followed the same strategy as I did with the first auction: choosing the painting I liked the most and could justify with basic art principles.,"If the painting it was paired with didn't produce a gain, I chose that one. Or, if I didn't know the auction outcomes of either, I went with the painting that was most visually pleasing to me.",Pilot
q3NG8,31,Novice,0,No.,Right,4,Male,Yes,"No, I didn't use any particular strategy except going with what I felt.","No, I didn't. I went with my gut-feeling.","No, I didn't. I went with my gut feeling.","I simply went with my gut feeling, as I had nothing else with which I could base my judgments.",Pilot
r2HjA,28,Artist,1,No,Right,4,Female,Yes,To pick art that was shown to make more money.,I thought I would choose a painting that was well executed and had a clear intention.,To choose paintings that had clear intentions and were well executed.,If the painting was proven to make money then I would choose that one.,Pilot
r6UzD,28,Artist,1,No,Right,4,Female,Yes,I picked what I could remember did better price-wise ,I picked what my favorite was,I picked what did well and also which ones I liked better,I would just pick my favorite,Pilot
t0rIa,33,Novice,0,No,Right,4,Male,Yes,I tried to get in the mind of an art buyer rather than choosing what I liked best,I just tried to think of what would be deemed most valuable to an art buyer,The same as the first,"I had an idea of what constituted a valuable painting from the outcomes I did know, so I just applied that reasoning (style, subject, colors, etc)",Pilot
u4SBF,31,Novice,1,none,Right,4,Female,Yes,None I choose what I like the most.,Which I like the best,none,I decided what most people would like.,Pilot
uD3tx,31,Novice,1,No,Right,4,Male,Yes,Just pick the best one,Pick the best looking one,No,I just went with my gut,Pilot
uphHd,29,Novice,1,nope,Right,4,Female,Yes,I had no strategy at all,i choose the one that i liked or that the style looks familiar ,same strategy going off what i liked and what looked familiar ,I choose the one that i liked,Pilot
